regionID	logFC	logCPM	F	PValue	FDR	V1	V2	V3	V4	DMSO1	DMSO2	DMSO3	PDsiNanog1	PDsiNanog2	PDsiNanog3	t2i1	t2i2	t2i3
36005	3.11420848804235	5.37557147134736	783.390301571001	6.42189161703334e-25	2.52102058579339e-21	chr6	87567690	87568690	chr6:87567690-87568690	206.461854	239.712969	228.737811	881.11616	931.847748	981.510629	1910.565366	2270.10983	2342.673858
16946	2.19507199774937	6.0362100460435	687.186499763872	5.31841461877498e-24	1.25269937930626e-20	chr16	35484180	35485180	chr16:35484180-35485180	700.37384	698.41398	809.106378	784.08488	732.37333	818.477702	3528.431586	3867.495232	3865.602786
25180	2.60872552349926	5.61824133822444	650.083339783952	1.29751244714682e-23	2.77832801637238e-20	chr2	155610895	155611895	chr2:155610895-155611895	378.133245	299.641157	339.910071	1245.388257	1227.119881	1343.642788	2242.165848	2419.454569	2270.062409
43423	2.26786921569519	6.10022677048632	630.797624898225	2.10299570124141e-23	4.30730093452523e-20	chr8	119470920	119471920	chr8:119470920-119471920	644.10016	588.57426	634.35646	1514.590794	1421.617066	1606.041508	2957.85619	3844.622202	3247.132606
36176	4.65882430899388	4.16432406668789	605.227464242258	4.07857780486829e-23	7.27918223121634e-20	chr6	92496970	92497970	chr6:92496970-92497970	51.330286	45.593796	44.753052	78.73513	60.1326	79.124381	1216.487778	1419.112757	1371.33696
43856	2.89650576005755	5.30191866559761	596.033979525213	5.20912264510395e-23	8.17971165218523e-20	chr8	124216660	124217660	chr8:124216660-124217660	279.084712	224.514992	252.890224	831.13044	841.02647	764.01048	2255.13338	1979.828964	2043.310628
23921	3.85926935580237	4.63812040684467	587.814080297708	6.50267437729948e-23	9.572749517682e-20	chr2	75063060	75064060	chr2:75063060-75064060	102.660516	97.404904	127.865826	127.413706	175.836038	122.182706	1704.317878	1908.520454	1690.445644
37854	2.99264800289076	4.95143887803772	561.979188924278	1.33159919545126e-22	1.65076249735048e-19	chr7	18881900	18882900	chr7:18881900-18882900	207.60254	216.225156	249.338378	292.724806	248.824606	304.720976	1862.399444	2110.673944	1997.451826
8282	2.72061408274478	5.39286404947002	556.996882561448	1.53446830486075e-22	1.73079618697962e-19	chr11	108897720	108898720	chr11:108897720-108898720	390.870736	315.702586	305.457304	505.0809	591.372966	563.07148	2455.205002	2637.75401	2368.151778
40304	2.44433046145007	5.48502349736483	552.915323130172	1.72503348924454e-22	1.88983436305423e-19	chr7	132803030	132804030	chr7:132803030-132804030	413.303988	348.17081	447.88549	766.44275	692.97635	765.48277	2441.620497	2409.69981	2477.387407
27565	3.58892676728023	4.67104102552451	543.987097467507	2.23487631918233e-22	2.11791038043754e-19	chr3	115693280	115694280	chr3:115693280-115694280	149.047924	120.201782	132.128042	113.03886	116.947532	163.400998	1631.452116	1954.939066	1814.648666
46366	3.17801979833667	5.14009153710183	557.90505279574	2.04873948793165e-22	2.11791038043754e-19	chr9	118470745	118471745	chr9:118470745-118471745	238.970985	288.06992	185.760653	191.283908	207.768528	225.780518	2368.136864	2482.01831	2368.629451
755	2.62004157993659	5.72442302966249	574.376147432835	2.58087130943727e-22	2.25147566009205e-19	chr1	73968410	73969410	chr1:73968410-73969410	362.734124	319.84747	461.02736	1388.810446	1084.4599	1249.797472	2463.233905	2605.462535	2749.998203
16502	3.58301387627389	4.54020794417894	529.464036143296	3.43520841837379e-22	2.69709663621254e-19	chr16	21710340	21711340	chr16:21710340-21711340	106.462774	109.839592	98.740816	321.47447	414.70764	345.203214	1335.04859	1440.303406	1443.311166
20017	2.88568566140154	5.91068142634928	678.91332660911	4.20382637625557e-22	3.19409440213947e-19	chr18	25509850	25510850	chr18:25509850-25510850	293.533273	440.394695	477.36576	1143.130724	1060.40709	1144.912154	3253.641577	3587.977136	3104.775725
28099	2.80518466196241	4.89277081132615	497.874782661554	9.10496756125305e-22	6.30760017463984e-19	chr3	154173115	154174115	chr3:154173115-154174115	187.830855	203.099719	210.978637	627.267675	571.881745	641.64389	1514.125373	1598.225929	1577.069582
6469	4.14622986835518	4.2427974098047	494.542982060593	1.01248604195535e-21	6.91249166151196e-19	chr11	63930130	63931130	chr11:63930130-63931130	74.90415	81.86155	57.539626	40.511016	51.423721	52.99494	1583.286661	1319.212853	1335.668142
22291	2.60213175430775	5.22747636550408	491.367269575507	1.1210153588966e-21	7.43785796153535e-19	chr19	47453195	47454195	chr19:47453195-47454195	251.328308	273.217399	363.707426	706.166213	688.62194	728.49645	1883.395278	2190.560511	1923.248345
754	2.33886544401705	5.48468919521018	487.457102617841	1.2718360816289e-21	8.09643974775325e-19	chr1	73966270	73967270	chr1:73966270-73967270	395.813796	401.018155	376.138628	1017.023478	848.906698	1062.474984	2253.898112	2266.745846	2100.635271
33666	2.82782627871975	5.21208121175603	482.876722625673	1.47629631891249e-21	9.27271559884396e-19	chr5	128580815	128581815	chr5:128580815-128581815	259.503162	201.199959	197.659273	926.364218	1107.683372	951.88477	1754.953849	1859.411116	1613.215374
1701	2.09102377289818	5.6045444492305	477.062309341965	1.78727869594753e-21	1.08418241914988e-18	chr1	135195600	135196600	chr1:135195600-135196600	514.823858	504.29502	586.761978	816.10221	748.961442	878.096384	2361.344604	2754.135204	2510.826502
45501	4.32356548814023	4.04143547196496	474.011447689523	1.97757240045297e-21	1.17923393215872e-18	chr9	70987670	70988670	chr9:70987670-70988670	38.78284	58.028448	57.894791	121.533068	111.971056	151.256364	1125.096688	1101.923406	1224.52204
1754	2.2419149067031	5.49038958761019	465.743527236108	2.60948476550555e-21	1.48105552208958e-18	chr1	135668030	135669030	chr1:135668030-135669030	403.798314	341.262672	452.85814	1096.411438	1063.310578	1083.084322	2144.59979	2045.756398	2114.011656
17683	1.61305513281379	6.5639655859097	461.487604562256	3.01525114558845e-21	1.65165640658582e-18	chr17	6478860	6479860	chr17:6478860-6479860	1438.769454	1740.16401	1646.627792	477.63824	477.74306	490.939324	5016.005142	5807.967202	5637.57701
42411	3.71476211662769	5.04658575971131	568.288818253198	3.27026119180712e-21	1.7707524623408e-18	chr8	84539060	84540060	chr8:84539060-84540060	161.975604	89.805914	174.039592	466.530128	432.12528	451.193006	2143.9825	2091.501262	1987.896612
11972	3.45892018916985	4.8852751732159	490.28327280303	3.79012613070307e-21	1.98383624183511e-18	chr13	94030300	94031300	chr13:94030300-94031300	107.223304	188.592562	170.487758	344.997088	354.98976	284.847902	1769.772974	2131.864958	1810.189284
42876	2.4637175577285	5.35131061945369	452.582020824134	4.09671762767556e-21	2.09769754352761e-18	chr8	95828435	95829435	chr8:95828435-95829435	403.41821	330.727729	453.923724	428.796125	506.979961	419.727385	2559.56493	2478.149702	2252.864747
18533	2.8659848763749	4.72577548864082	450.91297044905	4.34165309028604e-21	2.19921068577629e-18	chr17	31814890	31815890	chr17:31814890-31815890	199.237566	226.587407	204.585334	193.734178	208.183216	234.060972	1669.120007	1825.438766	1635.349132
43906	2.77622443076207	5.06465376033394	446.593608445848	5.05040634075936e-21	2.50436359895255e-18	chr8	125477700	125478700	chr8:125477700-125478700	236.499602	263.200608	264.256	435.820212	481.475542	550.558722	2267.483798	1782.384222	1767.197638
40615	3.38170314252657	4.60049465330866	443.991971324397	5.53563723837169e-21	2.71638332317931e-18	chr7	144821950	144822950	chr7:144821950-144822950	153.230476	140.926298	117.920688	218.236814	205.694966	230.38065	1317.758519	1580.566977	1913.374896
24179	2.68505171248185	4.98275053687354	442.684808260258	5.79785822042233e-21	2.73125505047655e-18	chr2	93261100	93262100	chr2:93261100-93262100	185.549526	207.244592	205.295638	814.141184	942.215316	914.89926	1409.149014	1606.466284	1275.158382
6366	1.76621462193736	5.96539680901242	420.623304391486	1.29153223136481e-20	5.48121624821024e-18	chr11	61004240	61005240	chr11:61004240-61005240	606.83836	547.12544	662.0611	1958.904408	1997.231244	2191.930678	2199.558072	2393.554638	2290.445032
3486	2.47702418672174	5.22491892316339	420.340625947978	1.30518235945321e-20	5.48969023117159e-18	chr10	43686360	43687360	chr10:43686360-43687360	349.806472	348.861628	335.292652	584.79658	510.09028	440.888528	2278.59846	2070.646718	2067.514948
44786	4.41571405917795	3.83257433408598	414.356211805924	1.63308453289368e-20	6.35714437113084e-18	chr9	48595185	48596185	chr9:48595185-48596185	38.972942	35.231551	64.288127	11.761266	13.063281	13.24874	1064.889893	1067.782223	1154.776791
24983	2.18842068134235	5.54585565635888	413.537048304543	1.68435564073619e-20	6.45094516453663e-18	chr2	150950100	150951100	chr2:150950100-150951100	545.2418	400.672836	497.256	725.93162	838.53858	855.279722	2295.889412	2532.80901	2516.559414
