regionID	logFC	logCPM	F	PValue	FDR	V1	V2	V3	V4	DMSO1	DMSO2	DMSO3	PDsiNanog1	PDsiNanog2	PDsiNanog3	t2i1	t2i2	t2i3
10074	4.27892355539766	5.80536411882873	407.892744689239	4.81529481910896e-10	1.04830202735586e-06	chr15	30662880	30663880	chr15:30662880-30663880	66.216812	122.678848	87.922148	181.736232	132.35799	140.031524	1674.953394	1982.01847	2052.28945
10210	4.70188204152234	5.72816325901922	472.161022912957	2.12151275680195e-10	1.04830202735586e-06	chr15	40955200	40956200	chr15:40955200-40956200	63.764412	69.332922	65.08964	159.274562	114.824246	87.664726	1760.98246	1793.131972	1982.954638
1278	4.35526348674138	6.30472418350431	390.18926457091	6.42380725418103e-10	1.04830202735586e-06	chr1	134534890	134535890	chr1:134534890-134535890	101.777796	145.565398	146.196154	106.183014	69.386351	49.715352	2209.083492	3254.446195	3183.26121
13015	3.82678851749822	5.71036225344843	473.320298776486	2.04076005304199e-10	1.04830202735586e-06	chr17	37990350	37991350	chr17:37990350-37991350	92.376628	115.779172	155.141696	75.893611	81.467489	57.421256	1499.153654	2027.401726	1983.263352
13172	4.57402925783889	5.33200789630721	387.891957130972	5.99070670957317e-10	1.04830202735586e-06	chr17	50427060	50428060	chr17:50427060-50428060	44.144592	74.549702	51.11752	46.965556	75.694224	54.189724	1405.26995	1445.74118	1434.545876
13278	5.02249258229046	4.91904492960024	435.424343813692	3.20233084099714e-10	1.04830202735586e-06	chr17	56832720	56833720	chr17:56832720-56833720	26.977264	33.824994	34.589528	22.46179	28.224954	31.3207	1101.92301	1022.872358	1179.732152
14158	2.75471492549931	6.32859908583301	508.804847365312	1.38039802852649e-10	1.04830202735586e-06	chr18	36414570	36415570	chr18:36414570-36415570	328.223142	354.74212	343.59488	242.655338	257.98039	209.881722	2100.611122	2661.035601	2726.099783
16322	3.7588959775698	5.89195533514533	383.343629127853	6.46780619049764e-10	1.04830202735586e-06	chr2	59231310	59232310	chr2:59231310-59232310	145.513596	139.927924	142.277011	69.087002	73.983588	48.555324	2196.36577	1977.909814	2010.422048
210	3.18324863089638	6.46150786485057	437.536595335961	3.11981644103948e-10	1.04830202735586e-06	chr1	21256220	21257220	chr1:21256220-21257220	270.58998	327.480084	308.15339	164.719754	128.936748	145.168794	2373.660922	3251.67584	3254.345734
22572	5.80973577955757	4.51625239560307	412.081069336532	4.30986139167671e-10	1.04830202735586e-06	chr5	88684130	88685130	chr5:88684130-88685130	17.167344	12.284711	12.268212	14.293868	18.282066	13.174581	712.17333	955.611157	900.847232
