regionID	logFC	logCPM	F	PValue	FDR	V1	V2	V3	V4	DMSO1	DMSO2	DMSO3	PDsiNanog1	PDsiNanog2	PDsiNanog3	t2i1	t2i2	t2i3
22050	2.61767059867461	6.7741391958227	436.781283363143	4.96407169925599e-14	2.08234534330957e-10	chr8	34808060	34809060	chr8:34808060-34809060	602.39304	537.78528	627.9179	2432.890812	2213.144976	2021.555254	2949.841002	3840.187402	3133.575804
10837	2.11445009843785	5.98646095582758	194.720106011335	4.59204395242272e-11	2.96351677534686e-08	chr18	84719990	84720990	chr18:84719990-84720990	470.901952	479.73839	531.47111	1155.9493	947.229348	1242.414	1860.803779	2187.634473	1822.573313
14670	3.11649467542593	4.61699371665903	162.798345436365	1.98612555180476e-10	8.61875758851276e-08	chr4	41682665	41683665	chr4:41682665-41683665	100.056519	92.333982	131.518784	537.64458	406.345639	282.353471	865.012335	914.2061	795.936805
18928	2.58233870764165	4.45270657718093	156.123992892639	2.78759403721126e-10	1.0850049222757e-07	chr6	83412620	83413620	chr6:83412620-83413620	119.98559	130.889466	107.23842	471.971868	475.926766	396.836796	566.51044	613.385904	787.917508
13587	1.84257538761205	5.78653476595248	153.914432951114	3.12768108426583e-10	1.17493440611771e-07	chr2	180641415	180642415	chr2:180641415-180642415	563.357448	447.869816	463.182338	1033.596642	1060.745538	930.6982	1602.472835	1771.96773	1454.316374
12838	2.25448228602486	5.53347266418792	153.598552102107	3.1799647759902e-10	1.17700784480731e-07	chr2	152143270	152144270	chr2:152143270-152144270	220.658356	232.471116	136.914412	1597.94707	1458.472002	1406.130942	857.38888	878.64282	834.38722
14668	3.99906738568483	4.05786110459375	148.383218544727	4.20013896854052e-10	1.39096444341048e-07	chr4	41676600	41677600	chr4:41676600-41677600	41.91279	43.8195	24.28036	468.701548	338.02578	244.983194	726.02428	433.937954	450.708664
7108	1.11889525814309	6.93509843416161	146.444850041339	4.66822089412128e-10	1.50633912415562e-07	chr14	78307570	78308570	chr14:78307570-78308570	1591.4516	1489.863778	1576.203006	2460.139488	2307.32146	2129.21702	3041.326982	3172.315015	3041.460019
16386	3.51385206246411	4.6548730780548	153.51410750261	5.08523745934953e-10	1.59860954364793e-07	chr4	153843790	153844790	chr4:153843790-153844790	74.374685	92.476244	30.350492	627.29714	693.70962	596.441496	645.680892	683.207646	730.3453
18938	2.55538813109272	4.46543280534392	143.033108666745	5.63972967949695e-10	1.67161702316994e-07	chr6	83438240	83439240	chr6:83438240-83439240	112.589256	138.856668	150.403504	446.901588	320.36767	380.227914	655.650422	734.10542	778.048366
7320	3.58466856662664	4.06975120580608	137.398864003247	7.77619656201833e-10	2.17465656966044e-07	chr15	27995140	27996140	chr15:27995140-27996140	66.56733	51.21761	42.490668	426.19194	285.89239	180.919754	548.916934	650.580718	559.273024
14667	3.81449995376326	3.6362538252594	136.710602900039	8.09389366142545e-10	2.21429575613497e-07	chr4	41674430	41675430	chr4:41674430-41675430	24.654584	35.283252	32.0366	316.646216	289.676284	179.733378	418.13853	373.578159	398.482374
22466	2.56470274072275	6.6131319205997	203.126851392248	1.00114214415684e-09	2.5977058377612e-07	chr8	87961420	87962420	chr8:87961420-87962420	653.34602	548.02856	476.16562	2184.369602	1596.794178	1926.646202	2718.193608	3819.306796	2504.393402
3791	3.99874677185644	4.61152676600108	146.486628617591	9.9676324517077e-10	2.5977058377612e-07	chr11	101774790	101775790	chr11:101774790-101775790	27.120036	25.039723	12.140192	969.55915	860.620546	1107.16915	252.17336	456.124193	231.522716
14680	3.01563231594103	3.83251592652205	132.827626884575	1.01801274694393e-09	2.6145268191665e-07	chr4	42172410	42173410	chr4:42172410-42173410	63.280094	73.411932	58.677636	251.245942	241.326832	250.61834	462.12231	560.53058	421.92244
7330	1.37115630222283	6.66917182006533	131.587184634889	1.0967688909108e-09	2.78834103185191e-07	chr15	28023960	28024960	chr15:28023960-28024960	1206.429414	1122.235318	1288.884778	1992.528374	1765.806786	1394.564596	3044.846476	2656.484198	2871.211078
12417	2.59864546633689	5.09475887795078	125.144125197152	1.63186486841783e-09	3.83854269843069e-07	chr2	102449930	102450930	chr2:102449930-102450930	98.207433	110.40245	133.879406	1169.03117	1159.125508	1034.801172	564.16446	862.9816	467.569222
7321	2.54176922932437	4.43760907269879	118.352182132773	2.53101239315304e-09	5.49164232097146e-07	chr15	27998415	27999415	chr15:27998415-27999415	113.411078	95.890787	154.281578	491.864676	500.101828	331.587186	624.27518	617.627465	703.615271
10039	1.45971418363568	6.39382872169409	114.770603533837	3.21887108738696e-09	6.32935674987831e-07	chr17	86754565	86755565	chr17:86754565-86755565	797.36918	750.053415	522.871625	2178.647272	2260.443324	2323.18673	1637.07308	1817.155897	1744.439321
14669	3.28717557076489	4.04432100242233	111.381630104241	4.06583459466968e-09	7.69420984310083e-07	chr4	41679765	41680765	chr4:41679765-41680765	65.950997	33.71826	56.485658	531.10442	383.222033	271.824461	423.12338	387.11829	592.99422
9952	2.42192663396755	4.62599715966822	109.9080742915	4.50919581985580e-09	8.16488845970867e-07	chr17	83169530	83170530	chr17:83169530-83170530	163.13116	95.321701	126.460384	675.25756	583.97747	576.273458	613.42604	756.94401	511.98173
12748	1.03585276159766	6.99601623359188	109.220118675827	4.73438835325388e-09	8.39153665232724e-07	chr2	146223180	146224180	chr2:146223180-146224180	1460.371642	1671.97044	1503.361458	2638.900378	2740.36444	2876.919516	2900.57971	3049.637978	2740.440324
25138	2.00264925711201	5.71599383734352	109.899237309327	4.8088924411241e-09	8.46398698256311e-07	chrX	162158410	162159410	chrX:162158410-162159410	426.523884	426.528938	293.725404	1305.280806	1327.298152	853.88119	1463.190622	1137.374522	1607.499423
7101	2.09783945349596	5.00457003472976	108.019119029762	5.15811334523175e-09	8.95341757145778e-07	chr14	78275430	78276430	chr14:78275430-78276430	303.662012	269.746115	183.45184	656.727578	596.59052	455.26497	1056.78091	895.608606	1007.925586
23798	2.48604581973276	4.37177048723592	104.167755358756	6.82864396250112e-09	1.13377006046806e-06	chr9	43744990	43745990	chr9:43744990-43745990	157.378369	84.509069	95.098216	480.692014	464.995762	446.367325	618.117422	458.40817	653.44545
7328	1.92480936398781	4.52668283488305	104.094898280271	6.86557056915461e-09	1.13377006046806e-06	chr15	28020030	28021030	chr15:28020030-28021030	187.374734	217.959437	213.465132	372.781224	384.693316	370.440487	786.428528	690.059064	674.829092
10384	4.3220000783609	5.2305872119145	158.399068876594	7.89040632072676e-09	1.23248938171029e-06	chr18	38600785	38601785	chr18:38600785-38601785	46.227344	43.392688	43.165135	1277.758502	1315.315755	994.31638	571.788326	1307.687003	541.796126
