regionID	logFC	logCPM	F	PValue	FDR	V1	V2	V3	V4	DMSO1	DMSO2	DMSO3	PDsiNanog1	PDsiNanog2	PDsiNanog3	t2i1	t2i2	t2i3
2649	3.77167013679925	7.28800226238291	291.751017012455	3.052638615279e-10	2.73060555264125e-07	chr7	130264820	130267080	chr7:130264820-130267080	920.984867	869.940508	642.081584	80.660291	95.297493	62.086136	1018.075475	1283.760367	1161.863301
513	3.23667571609933	7.60703958208751	284.506675339042	3.56727927425492e-10	2.73060555264125e-07	chr11	102604400	102607100	chr11:102604400-102607100	770.865985	578.569428	750.893836	143.880534	176.580619	169.649424	1797.66269	1446.459861	1677.272279
1847	2.88864756580103	7.7935982395374	243.266847887015	9.37833586412342e-10	3.2449042089867e-07	chr3	96596800	96598500	chr3:96596800-96598500	1398.735634	1167.003253	1432.094536	186.027338	139.0222	209.985468	1351.179053	1418.617978	1450.272787
2648	3.50898099283137	6.58821194598869	211.278871630065	2.22551261537624e-09	4.95017591734401e-07	chr7	130263020	130264520	chr7:130263020-130264520	426.249876	543.665638	429.403407	58.860216	65.587101	54.572531	579.411744	871.356015	721.572359
1100	2.12426042323383	8.12026142677091	191.920296212685	3.99629298884327e-09	5.92593160345617e-07	chr15	101076160	101078060	chr15:101076160-101078060	1129.726922	1038.389334	1218.516454	490.501753	460.791343	353.139393	2141.712814	1916.286929	1990.903763
2694	2.96038561028126	6.82770117624787	183.642901100726	5.22177333586553e-09	6.25407775687894e-07	chr8	8659760	8661280	chr8:8659760-8661280	294.758932	263.865621	271.580727	127.16712	121.364141	126.940431	890.230214	1297.02845	921.704841
1643	2.32332315814043	8.07896405272894	169.924048003078	8.34875062217422e-09	8.96483084050018e-07	chr2	92914200	92916100	chr2:92914200-92916100	1440.922183	1390.463885	1322.832411	396.761352	384.553407	233.712678	1789.843441	1838.852772	1773.774118
1638	1.91097810080114	8.14499372780534	156.082363592433	1.39144413966452e-08	1.26428033040321e-06	chr2	91975320	91977140	chr2:91975320-91977140	779.084502	692.006875	792.260376	586.421984	452.943476	658.428835	2134.675742	2263.003174	2401.586288
1650	1.76487979750098	8.24524117809052	155.536028621371	1.42099587553347e-08	1.26428033040321e-06	chr2	101795840	101797620	chr2:101795840-101797620	1912.098295	1884.429395	1574.629091	521.022153	528.059962	376.075623	1618.600202	1807.965737	1726.071596
1606	3.57454051360479	6.99524060753269	153.139601772286	1.55948913831164e-08	1.31249977748715e-06	chr2	69583980	69588180	chr2:69583980-69588180	131.217138	161.05098	265.061025	122.080481	104.266649	84.23153	1289.015737	1370.330386	1278.652689
2472	2.34139296938922	7.36061781129205	150.785610923665	1.71092778080705e-08	1.36861329004764e-06	chr6	128033720	128035580	chr6:128033720-128035580	694.710693	640.789468	472.118796	255.060944	257.863739	194.167497	1366.818266	1168.912998	1277.556056
1033	2.45935568934713	7.71781788960332	148.786561407817	1.85298542677273e-08	1.44254915474257e-06	chr15	78801140	78803800	chr15:78801140-78803800	1523.103848	1464.823641	1404.21666	205.647457	235.440802	141.57227	1185.40932	920.079169	1309.357739
1411	1.47409701360885	8.15305541341353	131.069747341464	3.93708825877113e-08	2.72446507506962e-06	chr18	82912550	82915270	chr18:82912550-82915270	1372.985025	1541.461131	1159.164315	651.095958	572.906242	542.16577	1835.5869	1699.862564	1682.754825
