regionID	logFC	logCPM	F	PValue	FDR	V1	V2	V3	V4	DMSO1	DMSO2	DMSO3	PDsiNanog1	PDsiNanog2	PDsiNanog3	t2i1	t2i2	t2i3
11331	3.57394562512134	5.078125828589	322.443861459439	6.49540621117549e-13	1.41058571552694e-09	chr4	41682400	41686940	chr4:41682400-41686940	49.309172	64.875648	70.143353	342.987923	311.118231	320.712282	612.253053	718.227183	720.475954
5651	3.65567332889332	4.90703266299824	197.853708860225	3.93356474246236e-11	2.40254759035709e-08	chr15	27994880	27996400	chr15:27994880-27996400	69.032772	46.095852	40.69212	360.791542	272.438637	229.75819	577.457426	754.769183	495.395459
12673	3.31729749374414	5.128481009805	192.985279116499	4.831772333163e-11	2.65673385926876e-08	chr4	153843400	153845180	chr4:153843400-153845180	60.814653	73.60161	32.373854	520.295155	548.240801	487.988647	464.468025	508.109854	581.753988
11329	3.80488346959878	4.76181439839942	185.723317780538	6.62622932857387e-11	3.15877200553601e-08	chr4	41675900	41678300	chr4:41675900-41678300	33.146717	52.355777	26.078913	393.128008	334.662348	260.010372	610.298367	402.616142	444.95147
2930	3.82691140874326	5.06639695076387	182.640654232661	7.68838857837943e-11	3.49464080847502e-08	chr11	101773120	101776140	chr11:101773120-101776140	16.436389	26.936659	13.489099	728.849492	665.961642	851.014522	204.866469	330.619353	219.871206
11330	3.32695584816074	4.75111813688236	166.972997742538	1.58309480328756e-10	6.44616415213655e-08	chr4	41679350	41681180	chr4:41679350-41681180	56.431596	40.594698	47.211885	455.985024	332.279906	252.991045	432.213412	366.073943	557.080123
10335	3.50892892368601	4.32018395708999	143.505677912204	5.38728026365079e-10	1.72613758611565e-07	chr2	172421880	172424360	chr2:172421880-172424360	40.54308	27.316056	31.249772	269.231034	296.263054	162.926646	314.337052	366.726496	373.945662
14641	1.70505752094357	6.13288782106754	137.005242444041	7.80762496293635e-10	2.13800377163877e-07	chr6	83425800	83428360	chr6:83425800-83428360	343.520167	465.511293	360.384133	619.849174	713.890323	675.630939	1138.493172	1143.899081	1275.636744
5652	2.55416996819471	4.92121288488273	129.08444598772	1.25413796389777e-09	3.03923055481223e-07	chr15	27998130	27999700	chr15:27998130-27999700	75.607387	84.983331	124.099722	386.951664	386.935972	255.660249	525.849447	488.533715	547.073588
5487	2.10107699971229	5.85241689757561	122.467491901526	1.91821395538479e-09	4.21252716381974e-07	chr14	78274500	78277360	chr14:78274500-78277360	312.839008	253.052969	191.545349	676.529122	630.084962	436.579848	1076.720316	901.807838	1050.556467
12674	2.37111990098899	4.92875419783617	120.565490869659	2.150689560118e-09	4.61925576401169e-07	chr4	153845200	153848150	chr4:153845200-153848150	106.562607	65.065306	80.822263	527.017001	498.35	362.827972	424.980436	371.837876	421.37412
5659	1.95151414151129	4.95986225703926	114.07577905553	3.31878197835239e-09	6.23707632374014e-07	chr15	28019560	28021500	chr15:28019560-28021500	129.847406	162.758204	166.815291	280.494255	308.875822	271.280703	590.359	542.0417	524.181668
5655	2.59041598948065	4.63049662078882	111.105396209675	4.07708792139906e-09	7.58920794511853e-07	chr15	28008120	28009640	chr15:28008120-28009640	74.511645	77.964598	100.943459	186.754069	285.612148	209.985583	586.449319	417.406966	419.180891
19077	2.10774012933059	4.94007134780746	108.405839454736	4.93619346269226e-09	8.64176072749469e-07	chr9	110857160	110858780	chr9:110857160-110858780	136.42196	114.196298	86.330263	380.047894	437.247285	390.707324	390.184372	484.183258	479.76907
11328	3.99263365999908	4.34136284723882	111.277587968609	6.25918666935131e-09	1.03674409705484e-06	chr4	41670320	41675680	chr4:41670320-41675680	23.010938	25.798509	19.334372	339.71788	344.192036	135.047282	341.313692	229.258422	450.160161
5649	2.90257164941817	4.28180482914668	103.830332966038	6.89157349240323e-09	1.12246503257518e-06	chr15	27990670	27992170	chr15:27990670-27992170	52.59646	40.784378	52.382661	269.957605	258.144033	146.71313	319.028559	367.161429	330.903384
17653	1.92812035696235	4.98313009485559	102.370245357238	7.6864387086548e-09	1.23140528328408e-06	chr8	108938900	108940620	chr8:108938900-108940620	133.956534	139.425774	144.558256	341.534413	437.807855	324.073651	570.028517	460.474541	451.531088
12670	2.04035424313015	5.22719575483131	101.871837681656	7.98069680547194e-09	1.26815218750365e-06	chr4	153820500	153822330	chr4:153820500-153822330	140.668079	146.728967	114.09532	659.816018	542.495081	390.311891	563.382278	487.554793	488.267565
5974	1.642702194298	5.473523719178	100.550748207101	8.82310172313263e-09	1.35785451321754e-06	chr15	79796140	79797810	chr15:79796140-79797810	262.982039	240.34344	286.531218	413.111373	429.259336	341.078182	848.983127	682.010989	768.315859
5648	3.14814934030511	3.96627750245432	99.8987980034889	9.27489935960734e-09	1.40525510064748e-06	chr15	27959440	27960940	chr15:27959440-27960940	37.803698	31.868756	28.776765	209.280768	196.761244	150.667656	290.879109	228.388377	297.730717
8569	1.40213427526671	6.51338540367833	97.5449341224267	1.11335856790462e-08	1.6118957933108e-06	chr19	24075140	24077160	chr19:24075140-24077160	519.937333	487.895237	638.034797	1131.424427	1108.254314	809.886825	1341.795715	1441.674719	1266.590145
