regionID	logFC	logCPM	F	PValue	FDR	V1	V2	V3	V4	DMSO1	DMSO2	DMSO3	PDsiNanog1	PDsiNanog2	PDsiNanog3	t2i1	t2i2	t2i3
2930	-5.528465479	5.066396951	366.9686082	2.18E-13	4.27E-09	chr11	101773120	101776140	chr11:101773120-101776140	16.436389	26.936659	13.489099	728.849492	665.961642	851.014522	204.866469	330.619353	219.871206
210	-3.173910862	4.90260855	279.2931525	2.20E-12	1.43E-08	chr1	74107360	74108860	chr1:74107360-74108860	85.46923	80.430638	93.974115	656.182236	697.91385	645.37898	157.168574	177.490443	154.622596
211	-3.269908485	4.939811104	198.5898363	3.81E-11	1.24E-07	chr1	74110700	74112200	chr1:74110700-74112200	101.90559	88.777185	70.143364	804.423053	773.591846	571.034017	171.243359	101.79599	134.883491
5765	-6.887792474	4.169428572	195.3903921	6.24E-11	1.74E-07	chr15	62095260	62097340	chr15:62095260-62097340	6.574555	3.414508	5.395638	586.422153	438.36843	564.508763	0	5.220304	0
209	-2.126456569	5.723627352	173.4509877	1.16E-10	2.06E-07	chr1	74101750	74103720	chr1:74101750-74103720	235.040137	282.835111	276.414353	1086.189849	862.722711	1004.549136	436.318386	379.55971	367.639973
2932	-7.637238428	3.81766045	145.6883685	4.82E-10	4.49E-07	chr11	101779840	101781340	chr11:101779840-101781340	0	0	5.395638	374.961331	348.116246	262.185384	86.7946	120.937106	85.535854
7042	-1.745745382	5.959474761	139.848573	6.63E-10	4.98E-07	chr17	6500730	6502480	chr17:6500730-6502480	361.326262	346.667463	309.799982	1040.77329	1071.956502	799.209996	680.672404	595.22342	669.757437
2931	-6.963717552	4.244410136	164.3302953	7.77E-10	5.30E-07	chr11	101777540	101779040	chr11:101777540-101779040	0	6.829016	5.395637	382.22827	449.579872	507.761413	77.411399	186.625862	104.726621
14419	-3.722482505	4.08674775	130.4008281	1.16E-09	7.30E-07	chr6	39735220	39736720	chr6:39735220-39736720	31.229142	26.936673	28.327118	413.474703	325.693162	240.039985	129.019002	202.286835	173.813314
5767	-7.207813544	3.820311671	131.9322755	1.52E-09	9.31E-07	chr15	62103800	62105300	chr15:62103800-62105300	4.930916	4.552676	0	368.421419	478.729803	396.639143	0	5.220304	6.579683
