regionID	logFC	logCPM	F	PValue	FDR	V1	V2	V3	V4	DMSO1	DMSO2	DMSO3	PDsiNanog1	PDsiNanog2	PDsiNanog3	t2i1	t2i2	t2i3
833	-2.75228160573301	4.63927124922183	161.489353507865	6.19953692920222e-08	9.18603193985535e-06	chr1	86032180	86033180	chr1:86032180-86033180	614.75428	724.966028	653.452004	156.551874	118.459336	100.756424	91.265802	106.24264	120.977114
8684	-2.22473694286621	4.80757230953062	145.539460942567	1.06214723228783e-07	1.19701980778557e-05	chr14	10738010	10739010	chr14:10738010-10739010	595.951762	715.03743	828.35965	131.707761	146.149727	136.385749	145.875706	171.306868	170.767038
17402	-1.45438796211006	6.57041831072507	131.069154992324	1.81996498650642e-07	1.59389376190016e-05	chr2	152396280	152397280	chr2:152396280-152397280	1751.885918	1731.133884	1692.160356	979.470642	1129.960142	830.74328	609.68618	704.33554	728.22836
300	-3.49855841545342	4.10123666745546	123.968927080366	2.41961224407896e-07	1.86209819202263e-05	chr1	34467770	34468770	chr1:34467770-34468770	378.907468	580.07389	593.218692	81.67921	59.01582	34.220753	47.129078	42.89837	54.624855
20841	-3.07017973930739	3.56426941712652	123.632535435657	2.45339221927605e-07	1.86858739818455e-05	chr4	118526810	118527810	chr4:118526810-118527810	284.487328	338.839184	359.95242	60.578767	53.028695	47.478199	29.17514	48.917496	48.246817
28809	-2.94049671703345	4.72707193688802	118.000039940755	3.19165676835982e-07	2.16898838161744e-05	chr8	83382210	83383210	chr8:83382210-83383210	639.687692	909.405457	847.017064	74.191957	50.142104	49.383939	70.693604	153.822632	111.718658
22246	-2.36179996594865	4.58150528687005	113.264793595952	3.82980454071617e-07	2.36020806068166e-05	chr5	47273820	47274820	chr5:47273820-47274820	449.620602	648.3971	635.049882	153.14855	164.645598	173.175094	121.189034	106.624852	127.766624
9667	-1.57262289626754	5.71848613597048	111.528491774875	4.14142800868142e-07	2.49069629553649e-05	chr14	105897800	105898800	chr14:105897800-105898800	1099.527092	1292.923544	1342.686152	259.331786	256.590502	174.832332	359.45281	454.97084	541.104886
12030	-2.09307016379232	5.62289010327644	103.096132839799	6.3658633025008e-07	3.12187329521734e-05	chr16	71885220	71886220	chr16:71885220-71886220	1034.127998	1173.61068	1274.359258	417.925662	253.169302	293.651932	232.653196	328.664608	318.285228
17073	-2.69880940030528	4.40807584063392	95.5558436314292	9.00726824843086e-07	3.88787759708568e-05	chr2	123385240	123386240	chr2:123385240-123386240	389.943588	643.0119	742.907876	65.343372	120.811414	79.213078	77.052286	91.7203	121.388634
15556	-2.70938669102143	4.40323405453027	95.1956615323487	9.17864064501519e-07	3.92373862904953e-05	chr19	58436930	58437930	chr19:58436930-58437930	589.82108	560.97377	562.97409	112.308908	82.002043	78.467331	58.350276	119.140906	110.792815
5965	-1.90751699393266	4.74170581214627	94.7426569718501	9.39967702066302e-07	3.9576533334061e-05	chr12	23426440	23427440	chr12:23426440-23427440	467.605784	584.53326	583.421	253.205682	311.115928	202.672886	118.944894	153.440416	198.542406
26194	-2.09194587073396	4.34599149007988	92.9297262481348	1.03496136480251e-06	4.21471989166718e-05	chr7	30972680	30973680	chr7:30972680-30973680	355.609146	563.413994	510.834192	153.148488	155.451118	110.03668	109.219782	124.395696	120.771378
18882	-2.5175863700834	4.50030962001876	92.863507237502	1.0386404536674e-06	4.21911891554917e-05	chr3	93014820	93015820	chr3:93014820-93015820	648.271616	607.504138	538.43804	125.922108	82.964272	81.698864	96.502382	107.962452	137.539486
30414	-2.94198544088086	3.46688003000142	91.9876680063008	1.08878523434793e-06	4.38980872594809e-05	chr9	63144210	63145210	chr9:63144210-63145210	279.173636	302.321691	288.30278	44.583242	87.133881	54.604025	33.663618	39.363304	49.275534
15294	-2.74794518204381	4.47223366555211	88.1806481379579	1.37252367302188e-06	5.11399165341118e-05	chr19	38929530	38930530	chr19:38929530-38930530	565.704516	619.70447	568.767396	165.740758	111.189235	74.573048	66.579141	119.714068	97.522359
17317	-1.89596235164911	4.79400339964339	83.9763044484545	1.70941364472157e-06	5.7481693679766e-05	chr2	146221830	146222830	chr2:146221830-146222830	633.96527	658.57836	714.1969	137.833656	184.74521	100.673562	175.79887	179.141242	225.59766
17280	-4.18985625405151	3.2553226000343	81.3856503757028	2.09950937889628e-06	6.56294079327887e-05	chr2	143889630	143890630	chr2:143889630-143890630	119.353852	390.754907	430.920741	22.461792	18.602805	21.377613	13.465456	24.649836	14.81352
22020	-1.57059924136808	5.39732779106128	79.4881398310933	2.23888783597572e-06	6.86974397435203e-05	chr5	29569430	29570430	chr5:29569430-29570430	657.672452	933.049117	831.085546	452.979694	443.901261	346.184619	199.737574	335.638964	345.545998
23678	-1.07394509150358	6.01112986381108	79.4817492709866	2.23976961778538e-06	6.86974397435203e-05	chr6	3182700	3183700	chr6:3182700-3183700	947.473544	1267.513382	1249.82319	594.89752	662.21722	509.91376	495.229666	582.04184	685.33132
1639	-2.85121525356778	2.86877199137169	79.4382171275565	2.24578719527272e-06	6.8808542270284e-05	chr1	167498230	167499230	chr1:167498230-167499230	132.024966	248.891614	258.228648	23.482785	19.244279	17.648966	21.3203	34.968378	37.548161
14199	-4.01732372055293	2.81149738643567	79.6146004579823	2.28642518726828e-06	6.98013407712941e-05	chr18	38573970	38574970	chr18:38573970-38574970	307.377132	171.649346	151.307895	18.037502	16.678378	15.826069	8.228891	16.910934	18.619774
15733	-2.88447576112619	3.76007875021385	78.5086666323271	2.37895787475685e-06	7.13379264274912e-05	chr2	15971340	15972340	chr2:15971340-15972340	249.33516	436.191302	496.01055	42.8816	42.978908	46.566688	65.831054	44.904736	54.316254
9154	-1.81298782992751	5.04156707840118	78.2400698088025	2.41916102814928e-06	7.20767682798595e-05	chr14	49361970	49362970	chr14:49361970-49362970	428.774842	813.231002	779.456772	331.481778	326.725213	277.32878	172.058566	232.93141	200.188356
1930	-2.29441477302919	5.01470481229356	78.3582875787253	2.48189685325996e-06	7.30402522219733e-05	chr1	188853190	188854190	chr1:188853190-188854190	527.691672	902.505355	831.255852	313.103916	208.907425	227.862126	100.990836	184.01383	211.195588
4514	-1.90334119024242	5.89583722342314	78.4153464800677	2.51624432817991e-06	7.37868922798483e-05	chr11	62954740	62955740	chr11:62954740-62955740	953.195636	1467.265432	1526.87977	517.30202	439.83874	440.6438	225.17226	474.8437	437.61612
28410	-1.9499223577953	4.37107922640809	76.248052182017	2.74374087772548e-06	7.79384535957873e-05	chr8	60658300	60659300	chr8:60658300-60659300	439.810748	537.1615	647.999496	78.275924	62.86468	52.035408	125.677542	170.638012	152.455974
19689	-1.56234169825566	6.14482305904239	75.3918776427174	2.99382753675445e-06	8.25237359110819e-05	chr4	8690610	8691610	chr4:8690610-8691610	1112.19874	1348.625726	1414.208798	978.79025	752.02405	576.28381	329.529696	539.33453	552.52401
19466	-2.35381700616938	4.06616385617949	74.4676099637681	3.07817721341316e-06	8.35696755025134e-05	chr3	143157830	143158830	chr3:143157830-143158830	278.764848	479.187991	520.461769	101.418351	89.913542	89.901924	60.220509	96.01972	110.689936
3242	-2.66984284345863	2.57293760470339	74.374516874634	3.0969503734706e-06	8.38686243161428e-05	chr10	94149780	94150780	chr10:94149780-94150780	122.623836	164.749748	155.397222	44.923574	44.261852	23.531922	23.190496	25.223088	25.30643
25277	-1.19546806733687	7.09892012606066	73.1116705443262	3.45876369092641e-06	9.00556496426269e-05	chr6	125166110	125167110	chr6:125166110-125167110	2401.793014	2225.468698	2249.979719	1443.681164	1521.474378	1491.502048	896.57502	1133.605484	1243.77025
3505	-2.93821039436213	3.77155970575017	72.0708276836209	3.62213321990993e-06	9.27449213717222e-05	chr10	122869940	122870940	chr10:122869940-122870940	183.935764	450.6637	502.14432	76.914588	73.342162	57.338374	36.655952	52.356988	66.866654
9163	-1.21371510661901	5.54487757788356	68.8376316214	4.50268661346349e-06	0.000105920964631373	chr14	50061520	50062520	chr14:50061520-50062520	850.19163	896.783822	983.16003	328.759042	390.65902	334.418638	375.536528	418.85614	472.386886
2385	-1.66994030180686	5.8864141628619	68.0760223388489	4.97429782857116e-06	0.000112855339609385	chr10	30772430	30773430	chr10:30772430-30773430	1327.198445	1350.728804	1291.994994	476.121805	289.519544	308.235154	374.040342	469.588944	510.963735
20455	-2.39404220543341	4.9953752933539	67.742546311632	5.09236579810876e-06	0.000114297991642162	chr4	83521720	83522720	chr4:83521720-83522720	786.427612	687.775608	700.31002	165.40049	308.55002	285.034632	101.73897	188.599952	164.800462
14880	-2.27026277416308	4.3911039785031	66.7913392656219	5.21099355056036e-06	0.000116288533061496	chr19	7054820	7055820	chr19:7054820-7055820	448.803236	538.50794	498.90689	188.542888	99.001192	141.854494	99.494668	106.051588	124.886234
3715	-1.15584737075138	6.09179841834657	66.5424463750157	5.29935602757447e-06	0.000117258651870208	chr11	5520230	5521230	chr11:5520230-5521230	987.939162	1136.756361	1050.890369	793.9908	1021.978727	740.758647	498.222094	464.620802	562.502162
2092	-2.83442622499517	3.51307580413584	66.2849123600966	5.39875881006548e-06	0.000118487586721112	chr10	7234230	7235230	chr10:7234230-7235230	201.511838	375.272616	402.209564	27.566739	48.110757	46.980992	34.785748	46.337866	64.603436
22356	-1.54015660079686	5.99068274049433	66.0359344798333	5.66242637040086e-06	0.00012231212999703	chr5	64647120	64648120	chr5:64647120-64648120	1367.664384	1157.623368	1072.274692	648.669542	663.286626	509.91384	334.392184	484.589	546.865926
10015	-1.1732038663578	5.61796450665126	65.4819736722193	5.72312535589993e-06	0.000123269655506214	chr15	25333170	25334170	chr15:25333170-25334170	976.494402	1072.051672	1136.214624	256.268722	230.50379	191.984141	460.069831	488.410622	568.057455
30653	-2.10569197120152	4.95419689538172	64.9284483831214	6.1376157306183e-06	0.000129108988659132	chr9	77616160	77617160	chr9:77616160-77617160	665.438856	899.981894	947.718668	121.15749	82.322782	70.09862	121.93712	230.065168	283.308582
16630	-1.37705368795439	5.92450258677877	64.282176920631	6.29665656878283e-06	0.000131515734106742	chr2	86050650	86051650	chr2:86050650-86051650	851.82692	1167.972748	1189.674758	646.287412	728.930884	616.96775	284.644833	525.194206	527.11446
13643	-2.96861899158849	3.17800439876337	63.6734666286527	6.57586854239165e-06	0.000135382659133744	chr17	87635710	87636710	chr17:87635710-87636710	141.017386	327.90083	331.24139	23.142453	36.457223	24.77483	21.3203	47.675442	38.885492
24027	-3.05272960255164	4.07313672545066	64.0390019051772	6.65427798251074e-06	0.000136263471308319	chr6	35123720	35124720	chr6:35123720-35124720	398.118768	475.40148	429.813052	110.266942	138.986526	80.53885	83.036946	37.26138	41.97164
21763	-1.46789064105862	5.18711501307475	63.3740014773364	6.69056367620884e-06	0.000136920020282819	chr5	8488340	8489340	chr5:8488340-8489340	444.715752	805.237182	740.522488	369.598762	430.21677	371.207878	232.65319	256.43476	267.877936
12031	-1.2852202311051	5.19961052828881	62.8924215791184	6.93796834492067e-06	0.00014021704045517	chr16	71922500	71923500	chr16:71922500-71923500	605.761974	720.422708	696.561558	334.204348	385.740994	315.692506	224.424252	338.696344	334.74444
15138	-1.97193721984834	4.40539717361968	62.2090646532876	7.30784097044874e-06	0.000145331885213538	chr19	27072620	27073620	chr19:27072620-27073620	279.582308	495.76374	558.71437	206.24011	199.071444	186.76396	85.281156	140.828908	134.967646
18175	-2.07603611444664	5.32472746474635	62.47924311362	7.47796527973967e-06	0.000147538479919684	chr3	19706950	19707950	chr3:19706950-19707950	483.546976	1124.303325	1149.547987	309.700634	366.282591	274.180161	149.24214	256.721344	287.217711
24543	-1.05334636649951	5.79146918266372	61.5083426978957	7.71155563476474e-06	0.000150611356753488	chr6	74363520	74364520	chr6:74363520-74364520	901.694002	1128.679012	1181.155072	449.235748	407.978888	320.332552	481.764254	568.8571	604.268152
27557	-4.4077946849599	3.52780878849893	61.8895317024782	7.82042912345888e-06	0.000152166142348973	chr7	133846160	133847160	chr7:133846160-133847160	138.973724	497.783282	489.365112	44.923568	16.0369	35.463606	11.221212	16.051048	27.981096
171	-1.20901406319271	5.7676873989722	61.2297827870589	7.87932875787657e-06	0.000152943904799597	chr1	18078170	18079170	chr1:18078170-18079170	805.63841	1216.775302	1254.934668	409.41734	462.611266	312.460988	383.765484	534.93962	597.89018
20534	-1.42929368146033	5.17866657442681	60.4995559494861	8.34002031749063e-06	0.000157822591133553	chr4	94675150	94676150	chr4:94675150-94676150	768.442914	718.318995	859.583595	254.567088	203.454927	179.389589	273.049492	333.44153	334.538744
