regionID	logFC	logCPM	F	PValue	FDR	V1	V2	V3	V4	DMSO1	DMSO2	DMSO3	PDsiNanog1	PDsiNanog2	PDsiNanog3	t2i1	t2i2	t2i3
243	-2.13508305902477	8.45246834435835	230.586569085401	1.30300550245534e-09	2.89825652474709e-07	chr10	70244180	70246460	chr10:70244180-70246460	2814.728668	3136.035721	2997.72976	934.133552	1063.688694	1307.564396	547.743874	662.543741	561.192521
1670	-1.1325035837387	8.74965574997227	185.265169342745	4.95073176690963e-09	6.42357446756524e-07	chr2	117341580	117343680	chr2:117341580-117343680	2727.341743	2893.985064	2630.152057	1803.594256	1836.999673	1660.110841	1115.817259	1085.823518	1068.650744
411	-1.71413644896419	8.15974508715506	134.952819289704	3.31204024743517e-08	2.34402121148026e-06	chr11	69802060	69804940	chr11:69802060-69804940	2492.849601	2481.778299	2381.952296	641.28601	778.076017	762.828481	728.760798	516.81023	705.397563
734	-1.81528407234634	7.82459813433725	116.853417125895	7.73765697239446e-08	4.80835178014581e-06	chr13	37777460	37779080	chr13:37777460-37779080	1779.511398	1880.255785	1728.854924	829.12991	869.449717	595.551761	417.552147	405.008814	509.925862
760	-4.03908641478896	6.41564331031632	112.512653569323	9.73919666448309e-08	5.61627007651858e-06	chr13	53285240	53286820	chr13:53285240-53286820	1240.398133	1089.986951	842.170161	91.560343	97.539775	35.590777	72.719799	36.542175	57.572213
2857	-1.27803409186833	8.47485557066712	109.973033243054	1.10275461098543e-07	6.24359610656117e-06	chr8	106135120	106137600	chr8:106135120-106137600	2511.203968	2381.808665	2254.705038	1274.215261	1356.307865	1610.085627	753.782957	833.508678	977.632081
1407	-3.37446210593387	5.84065865503822	106.502070593873	1.32871500160312e-07	7.38860449105733e-06	chr18	80973100	80974620	chr18:80973100-80974620	647.866789	607.592827	653.772147	82.8403	81.563438	104.201933	44.570199	76.999536	38.107331
1800	-2.48683998991261	5.96667978373907	87.3341291769901	4.15197970558452e-07	1.66012522509767e-05	chr3	51358000	51359640	chr3:51358000-51359640	552.262464	619.353895	619.600056	172.220672	121.083859	149.876715	93.441035	76.346979	108.564753
327	-2.28786405521408	6.44097640136146	87.3193088829696	4.15598264975376e-07	1.66012522509767e-05	chr10	128908940	128910640	chr10:128908940-128910640	691.971428	713.252954	951.881416	241.254246	237.122534	214.730976	148.567334	159.2193	113.499549
626	-1.25658220787006	8.14034625022817	85.9386502625919	4.54923618462418e-07	1.79320525049616e-05	chr12	70109980	70112900	chr12:70109980-70112900	1836.216815	1921.799175	1826.425844	1330.895478	1060.885675	1035.295414	628.282714	753.246671	650.292587
8	-1.70499728614297	7.8533353549011	81.5598407445066	6.11280937256242e-07	2.09178993254499e-05	chr1	12990400	12993530	chr1:12990400-12993530	1792.660367	1823.821425	1787.757074	690.699222	766.444418	874.445073	404.845536	629.373074	405.747481
2424	-1.91774666142384	6.76103745476614	79.3555281285866	7.13057224233764e-07	2.3271940819604e-05	chr6	90460940	90463320	chr6:90460940-90463320	936.325398	971.996467	774.274922	295.754327	320.087433	406.920946	165.769831	227.518268	222.612662
126	-1.71630115884939	6.97883544248043	74.575302515244	1.00902558270188e-06	3.11099570745905e-05	chr1	135583940	135585550	chr1:135583940-135585550	1188.075883	1106.01612	1170.629949	183.302322	245.811418	278.299977	294.397688	310.281894	313.357541
2844	-1.11651609983153	7.80648603489205	71.870806343439	1.23864985222279e-06	3.47491499083041e-05	chr8	105258360	105260640	chr8:105258360-105260640	1505.023794	1520.025124	1516.625749	784.076084	810.869745	826.891697	638.056972	581.846554	602.589671
1537	-1.12525289834358	8.29895109901064	69.33750858312	1.51011234511155e-06	4.12499109006786e-05	chr2	25179730	25182540	chr2:25179730-25182540	2022.906273	1971.973565	1837.666711	1583.594025	1267.45697	1257.540007	697.679203	903.330311	721.161503
2595	-1.21444414787281	8.07524011518916	66.5628942097483	1.88976647831926e-06	4.8590125137807e-05	chr7	81212480	81215080	chr7:81212480-81215080	1874.294026	1680.697168	1636.6783	1035.140946	1014.918656	1342.166506	727.197288	600.552751	616.02308
2969	-2.54825109700966	6.85986532083207	66.4738926482604	1.90365936634954e-06	4.8590125137807e-05	chr9	61373420	61375200	chr9:61373420-61375200	1058.776292	1283.096682	927.601502	261.601	228.153359	447.2571	121.981599	229.693451	131.593683
2028	-2.36645782817676	7.21599900543933	66.0921730061734	2.03923788295803e-06	5.11177160299465e-05	chr4	127330040	127331540	chr4:127330040-127331540	1512.693953	1550.565819	1551.248031	150.420531	203.488134	333.762197	291.661063	173.575196	314.72831
754	-1.71901384514826	6.58882193105436	60.7832577879297	3.09658223721485e-06	6.73077859165745e-05	chr13	49215100	49216980	chr13:49215100-49216980	817.161676	672.46828	700.309774	394.581581	305.79292	327.434876	182.190429	231.216035	164.217981
3026	-1.99475592951855	7.55035243266554	58.9252289280955	3.78811989707083e-06	7.7535922125695e-05	chr9	100569290	100571740	chr9:100569290-100571740	1758.417476	1688.94832	1640.839028	420.741586	578.792032	361.147367	417.161155	218.274106	477.301404
410	-1.32454342572244	7.50718333625113	56.8088503145386	4.45175148664552e-06	8.5047571346099e-05	chr11	69799900	69801400	chr11:69799900-69801400	1344.494961	1538.045815	1522.921187	394.581351	509.561322	421.552691	501.218854	431.110355	601.493018
721	-1.49091628180494	6.86226384597305	54.2665650227181	5.67863213467523e-06	0.000102215378424154	chr13	24936690	24938360	chr13:24936690-24938360	980.704063	882.745452	744.261786	423.466422	344.332214	417.894684	227.542484	254.381148	324.049639
2528	-1.74654450362279	7.44070244231903	53.395869817385	6.18568596859537e-06	0.000108826136193254	chr7	28289690	28291540	chr7:28289690-28291540	1579.946492	1370.356001	1143.876453	612.218432	707.023506	435.097036	260.970168	463.519692	332.685448
659	-1.67062069034272	6.85777851343415	50.302458501006	8.46244984893761e-06	0.000136539216733636	chr12	85745910	85748340	chr12:85745910-85748340	936.051945	889.099837	746.84714	342.261379	478.869971	477.805775	272.699117	165.092057	263.598618
2843	-1.97988579787255	5.60013401530345	48.5614048128286	1.01653424528471e-05	0.000155170962736108	chr8	105254320	105255820	chr8:105254320-105255820	424.058364	396.462374	414.115748	122.807112	119.402136	171.626618	93.831999	94.835537	83.342628
2382	-2.13917560665156	5.93047587134861	46.9457630411507	1.21087596141985e-05	0.000177861686031199	chr6	54680940	54683460	chr6:54680940-54683460	487.612423	527.920928	578.233089	141.337177	150.513956	223.628715	68.419168	125.504903	121.72412
