regionID	logFC	logCPM	F	PValue	FDR	V1	V2	V3	V4	DMSO1	DMSO2	DMSO3	PDsiNanog1	PDsiNanog2	PDsiNanog3	t2i1	t2i2	t2i3
2076	1.64778718876821	9.36634519542351	672.880877825178	1.97720254149487e-36	2.91192504298657e-33	chr17	6478180	6480540	chr17:6478180-6480540	1413.67481	1555.025138	1463.590332	421.881055	426.595808	440.888548	4631.710291	5293.894124	5177.279932
5235	2.05907100724557	8.47624092874279	616.473806902779	2.75709963851133e-35	2.70701232841171e-32	chr8	72329260	72331000	chr8:72329260-72331000	593.657106	592.25868	557.873905	522.722814	518.660894	521.117199	2482.37603	2692.244347	2729.934658
1823	3.0742879841902	7.36959236980583	539.935993271101	1.4283797473973e-33	9.34953899101944e-31	chr15	85027220	85028720	chr15:85027220-85028720	138.908648	133.557656	158.17476	304.485997	240.530407	297.360534	1187.258866	1453.085489	1302.759638
3584	1.59245369955866	8.84552286829293	444.578687460205	4.20037550225923e-31	1.76745800598637e-28	chr4	129976080	129977580	chr4:129976080-129977580	880.093493	819.767161	905.006086	999.272994	999.721348	1261.574231	2751.608992	2969.854949	2809.340305
5055	3.04955106403939	7.09331219175568	445.629230828114	3.92330860714667e-31	1.76745800598637e-28	chr8	13977520	13979020	chr8:13977520-13979020	115.588224	127.109981	152.965411	149.411682	101.18866	113.350234	1057.993971	1241.850058	1255.625554
3585	1.76963332325487	8.88568439289963	499.850321044231	1.1969844279986e-30	4.40714704083735e-28	chr4	129978320	129979860	chr4:129978320-129979860	836.494083	674.23557	867.119319	1309.856796	1072.157014	1245.381887	2879.226247	3078.837017	2840.762882
4167	2.68045905827198	7.47413622986017	425.868465545006	1.45073349325469e-30	4.74792833820187e-28	chr6	29990360	29991860	chr6:29990360-29991860	204.307229	209.54721	220.213368	204.297533	160.353576	198.731036	1712.55108	1444.115457	1239.914616
354	1.51272091740127	8.77222136161063	386.679502420511	2.28494918858271e-29	6.40982650949558e-27	chr10	61407360	61409020	chr10:61407360-61409020	926.734219	841.412467	933.65793	942.644728	760.849745	906.311808	2643.750762	2959.988886	2774.94594
717	1.93447296858858	8.0493619428556	382.060614761857	3.21207696434557e-29	8.60106608952716e-27	chr11	54957970	54959600	chr11:54957970-54959600	413.050562	381.905659	414.261592	705.894675	642.93484	705.985995	1768.74392	1748.859731	1496.283643
2457	1.88931284399084	8.04536361695486	375.513784703826	5.23688242240937e-29	1.34132497175711e-26	chr18	61038800	61040640	chr18:61038800-61040640	429.400125	449.260071	435.454037	486.785862	617.084859	568.714252	1715.844542	1857.842016	1715.922566
2753	2.13781594577726	7.73855461577605	355.596937812834	2.42577401249043e-28	5.49624411830042e-26	chr2	26610540	26612040	chr2:26610540-26612040	303.672557	361.526522	346.184868	345.868449	267.071694	260.06775	1635.980217	1514.527454	1672.185707
5332	2.53978542219281	7.34262879269076	348.838101465196	4.14926198600529e-28	9.05307494798413e-26	chr8	94919390	94920890	chr8:94919390-94920890	157.666422	233.265217	197.481663	293.160384	285.042335	221.303015	1297.99851	1203.280428	1204.24588
905	1.36497405946127	9.05967754087294	349.983510404328	1.03072056531611e-27	2.16856244652758e-25	chr11	95580080	95581800	chr11:95580080-95581800	1147.51742	1137.542593	984.329814	1397.849301	1329.276008	1474.044548	3103.587854	3128.842797	2929.511139
4608	1.83601285703137	7.57827797383902	267.445873668762	5.88096346389821e-25	6.53674637091025e-23	chr7	19621700	19623380	chr7:19621700-19623380	341.694996	322.380389	330.793604	361.767805	387.060287	374.153974	1274.532738	1247.903951	1334.606696
3021	1.71846491460175	7.80976196716254	251.928902996912	2.86646365151039e-24	2.59789805708427e-22	chr2	155589530	155591130	chr2:155589530-155591130	443.088151	468.372709	378.861757	361.114348	326.236637	423.959683	1537.17934	1522.151892	1560.508603
147	2.15481809290479	7.13229001139853	251.283984822901	3.06663138029589e-24	2.73720082747319e-22	chr1	118625920	118628480	chr1:118625920-118628480	198.730643	183.066027	202.217442	286.626349	290.018879	399.670244	844.748526	978.590707	1005.307029
5107	2.12692140969889	7.15984048367721	246.282654452892	5.20057827452141e-24	4.50538332576554e-22	chr8	34807460	34809120	chr8:34807460-34809120	193.661011	159.348049	222.581216	402.932195	383.742769	372.927426	769.824252	941.36613	1020.381483
5411	2.25218265855339	6.94582435212925	242.335261733939	7.93819202166849e-24	6.68055559994987e-22	chr8	111936640	111938140	chr8:111936640-111938140	206.335166	140.465789	191.325124	184.259833	158.141855	195.786755	852.98193	915.802617	1019.108125
32	1.89649932488835	7.33402845526939	239.746329512952	1.05067802520924e-23	8.71766795282765e-22	chr1	39526760	39528260	chr1:39526760-39528260	281.872898	296.589859	316.82309	177.290213	175.835999	197.258921	1099.984386	1169.195531	1349.043361
178	1.25208662620853	8.54203833321908	227.299301493264	4.18451931900293e-23	3.08137541353079e-21	chr1	132884120	132887120	chr1:132884120-132887120	889.725419	730.422067	942.655139	789.31253	846.832397	808.663667	2284.773547	2109.664714	2216.771501
5513	1.21204748200802	8.51239573086845	217.864057736341	1.24136038569811e-22	8.03610333203026e-21	chr8	124234860	124236400	chr8:124234860-124236400	927.241199	779.699866	1018.190835	617.249099	604.367112	618.765196	2341.584769	2234.791507	2260.083971
2189	1.53453693925625	7.81868219807441	212.219801729573	2.42104138007166e-22	1.53358653440884e-20	chr17	31299680	31301180	chr17:31299680-31301180	505.951993	387.777607	497.729488	410.773057	409.731055	466.159263	1403.798308	1566.103106	1410.190884
3714	1.11641136812909	8.66035323077604	207.983630508426	4.03315735089737e-22	2.44941545918932e-20	chr4	149944580	149946080	chr4:149944580-149946080	1046.884544	954.246015	1048.499767	758.384092	749.791003	881.286707	2367.108453	2579.674996	2235.667456
5433	2.61691393252451	6.79951865434201	236.388847568572	4.48595146142022e-22	2.6966061284925e-20	chr8	119907420	119908920	chr8:119907420-119908920	67.426443	106.385493	170.014163	293.160427	286.977663	285.5839	710.543748	806.82137	756.262524
3919	1.24136761083301	8.20942587932669	199.35223324467	1.16980303406124e-21	6.73463395402349e-20	chr5	110800620	110802120	chr5:110800620-110802120	704.682836	801.115025	713.207191	450.412781	429.084176	448.003707	1795.708264	1982.295419	1926.113875
4887	2.39240929498162	7.18147522047029	255.828383581546	1.17750347524091e-21	6.73463395402349e-20	chr7	105403860	105405360	chr7:105403860-105405360	247.399364	175.006547	202.217388	162.479674	99.529814	110.406076	1310.760363	1087.123074	1160.933761
763	1.49486701257537	7.65686938374686	196.731431075433	1.62753760860556e-21	8.96058322644424e-20	chr11	63926410	63927910	chr11:63926410-63927910	409.121538	390.540658	412.012245	440.39456	449.266258	482.352388	1162.14704	1298.358723	1251.591665
2515	2.13091591125402	6.74683820874446	195.609108424963	1.87667172368903e-21	1.00504301129565e-19	chr19	3575080	3579330	chr19:3575080-3579330	180.22646	138.968965	159.358649	212.138329	190.489014	191.002503	715.689678	780.136363	785.562059
1824	1.37315185229444	7.88808881247477	185.705193991553	6.77806641292155e-21	3.35542766710259e-19	chr15	85033320	85034880	chr15:85033320-85034880	519.640089	452.483899	587.708936	496.151428	442.354806	515.71934	1441.260253	1525.291626	1413.163035
2145	1.60299046036895	7.80399101825868	202.482182476201	8.15685973051621e-21	3.97124468367529e-19	chr17	26510740	26512270	chr17:26510740-26512270	495.812679	502.913457	358.616249	386.814848	354.713186	387.28029	1483.250004	1454.094703	1557.748168
1167	2.374715461971	6.51035338503025	180.78150347603	1.30810142188533e-20	6.21453667445683e-19	chr12	70112800	70114720	chr12:70112800-70114720	109.758048	98.786542	100.398363	283.794979	200.71846	298.341905	558.22586	559.258301	625.052887
5622	1.56645720892704	7.4831268391668	177.246878753583	2.11435651020766e-20	9.80761748160106e-19	chr9	50727280	50728980	chr9:50727280-50728980	371.099073	297.511112	346.184835	443.007598	420.237031	429.111952	1113.981453	1113.13491	1036.941904
4822	1.15570278017178	8.48955614625214	179.739202531513	2.88389148888448e-20	1.32726599695457e-18	chr7	79298320	79299820	chr7:79298320-79299820	952.081843	852.005415	799.398181	786.262737	793.473403	694.331939	2139.041842	2038.355849	2130.784307
1354	2.1283453182678	6.60762135100767	168.403787332674	7.25375395096992e-20	3.26197439123388e-18	chr13	51846930	51848920	chr13:51846930-51848920	115.588208	131.024625	135.443031	246.87776	284.489441	305.70229	516.029593	710.509483	591.931629
2609	1.52368180536182	7.36201488118259	160.439469651917	2.29318824135467e-19	9.71882872648948e-18	chr19	11807540	11809040	chr19:11807540-11809040	340.174101	289.681882	353.525383	350.660024	348.354411	376.362317	986.363715	1022.541128	1059.872372
4351	1.1308876677017	8.18797273902916	159.583214554727	2.60155326489592e-19	1.08693264421999e-17	chr6	91109960	91112760	chr6:91109960-91112760	645.114248	734.566978	753.461375	576.084455	646.667269	665.626435	1706.376052	1596.824414	1755.625
3380	2.21451280646283	6.39730751265675	152.98458409996	6.99281644818618e-19	2.71017642738584e-17	chr4	32241310	32244360	chr4:32241310-32244360	116.348628	142.998728	133.075208	65.558163	107.409249	91.269037	569.34074	747.397056	666.135633
4291	1.7463945263545	6.88346723443949	150.001381388804	1.10429995898164e-18	4.1173614293423e-17	chr6	72358100	72360760	chr6:72358100-72360760	204.3073	259.746521	230.15848	124.146677	183.024258	158.494069	771.471182	903.693757	856.899969
3531	1.47827846669411	7.61590696078239	153.925220395306	3.75998472460719e-18	1.28779476817796e-16	chr4	120270220	120271900	chr4:120270220-120271900	463.366827	395.146274	466.94707	333.889152	248.271637	214.678509	1247.773986	1484.030902	1283.863632
2821	1.98204787743065	6.55996852772907	141.617239692972	4.12979787076154e-18	1.39020795752321e-16	chr2	35579320	35582180	chr2:35579320-35582180	125.727529	157.045313	148.229633	255.263105	191.871362	209.035544	573.869206	597.828285	676.433127
279	1.57182131334408	7.90962908681426	180.826397444972	4.45619396909163e-18	1.49155901544993e-16	chr1	180884880	180886400	chr1:180884880-180886400	568.562368	457.089276	472.630123	407.288159	444.566576	319.196346	1821.232126	1561.170214	1451.591443
4388	2.54804875253532	6.60844195531829	175.161223067121	5.05732360232831e-18	1.67374681692787e-16	chr6	114973940	114975440	chr6:114973940-114975440	85.677214	193.888799	93.768301	113.6922	91.23567	104.517759	764.884622	877.233416	735.880758
3274	1.33696580616238	7.60575033925363	139.410550545383	5.89628770300687e-18	1.9405045172298e-16	chr3	96329980	96331480	chr3:96329980-96331480	433.962836	554.494249	429.534413	268.33102	261.542269	239.458534	1318.993253	1345.449513	1228.024464
4189	1.13444851097704	8.13436124443244	138.123312139139	7.27054451953864e-18	2.29041592324076e-16	chr6	37434980	37436480	chr6:37434980-37436480	728.003211	754.370095	656.851733	462.174379	482.166608	564.29825	1861.576172	1564.309116	1669.214049
1860	1.79600378030097	6.77235861915599	137.803578981362	7.66049721913031e-18	2.40042495307961e-16	chr15	93520790	93523700	chr15:93520790-93523700	134.599474	210.928908	221.278895	229.88915	211.224456	271.353674	711.984865	706.697119	707.748771
3136	1.53541930398475	7.05211813083436	135.733311044612	1.07658721446656e-17	3.32051061802224e-16	chr3	9610760	9612400	chr3:9610760-9612400	258.045691	288.300257	251.232666	263.757207	301.907051	253.688802	786.702892	883.735743	845.222521
4113	1.16948922985096	7.89299154791051	135.399731463649	1.1376425733326e-17	3.4905481247408e-16	chr5	142958030	142960920	chr5:142958030-142960920	481.617661	569.922213	664.428803	511.94175	521.149199	482.474838	1294.49879	1384.355021	1498.725403
3840	1.13887308985459	7.97676413007613	135.151082929987	1.18546580995687e-17	3.61843475982171e-16	chr5	38687250	38689780	chr5:38687250-38689780	527.498036	709.236978	710.48407	394.873492	423.554659	453.523874	1385.684224	1674.63637	1590.763699
5618	2.59959648475373	5.81518787321881	134.699857821602	1.27761173431948e-17	3.8596978086544e-16	chr9	48837400	48840320	chr9:48837400-48840320	59.314965	63.094412	95.6626	37.026204	44.51194	26.742816	429.784557	491.985883	509.341636
