regionID	logFC	logCPM	F	PValue	FDR	V1	V2	V3	V4	DMSO1	DMSO2	DMSO3	PDsiNanog1	PDsiNanog2	PDsiNanog3	t2i1	t2i2	t2i3
603	2.77066823825495	6.18081290432054	1066.2441460101	3.42788952806457e-30	2.43806313711574e-26	chr1	73968020	73969800	chr1:73968020-73969800	296.068077	293.82677	358.497909	1184.839529	1121.921819	1133.012425	2345.701603	2360.366693	2456.474029
33480	3.80511647538788	5.44998399685437	990.329168135515	1.39793080107735e-29	5.0402907567889e-26	chr8	84538800	84540320	chr8:84538800-84540320	116.602143	97.40488	143.967459	392.913338	345.036685	377.83423	1875.984786	1917.041187	1747.344565
28527	3.13463297276947	5.55256266317564	837.343654826262	3.35689960016646e-28	5.67697498291788e-25	chr6	87567100	87569280	chr6:87567100-87569280	155.131548	182.375284	169.067062	643.385696	686.202669	712.978314	1495.189157	1654.45452	1785.561638
31858	2.51628534421041	6.03702666080063	839.155319572993	3.22269913920087e-28	5.67697498291788e-25	chr7	132802780	132804280	chr7:132802780-132804280	381.745347	333.433447	400.172598	767.53187	707.767554	808.663908	2257.603426	2413.287874	2400.84773
13459	2.16196642981799	6.39165975923437	821.153064232638	4.85214857939743e-28	7.27711173078369e-25	chr16	35483780	35485580	chr16:35483780-35485580	611.908167	601.930142	722.67859	638.81127	596.349326	636.430183	3073.946726	3264.957588	3254.138357
34250	2.22136459115057	6.52444490390262	823.498236395586	4.59804622946356e-28	7.27711173078369e-25	chr8	119470140	119472700	chr8:119470140-119472700	597.205842	567.389444	569.002865	1268.475259	1279.234109	1386.701071	2701.384747	3348.823711	2928.661479
34574	2.7653025226148	5.81657447444388	820.815915216749	4.88987483589819e-28	7.27711173078369e-25	chr8	124216360	124217960	chr8:124216360-124217960	264.382713	238.561574	253.363776	817.408845	876.414991	817.741328	2013.070844	1839.229497	1844.797148
6504	2.73067887708479	5.93592264819607	800.83237256814	7.78149537706494e-28	1.0339661982275e-24	chr11	108896960	108899480	chr11:108896960-108899480	373.380399	296.359763	300.01111	535.573061	586.672915	543.443669	2314.002307	2499.17221	2337.154085
19967	2.54073230374134	5.87412675811954	772.513391497992	1.53239979311736e-27	1.90043114343105e-24	chr2	155610640	155612150	chr2:155610640-155612150	301.771514	265.503357	278.463415	981.304	990.321834	1036.223007	1753.306435	1918.947518	1789.064708
18972	3.85239870575529	5.00184485452205	711.081043409624	7.25804283434591e-27	7.29825631491458e-24	chr2	75062800	75064320	chr2:75062800-75064320	83.649301	88.654581	110.580267	103.455576	142.382946	97.40268	1457.315212	1615.212358	1455.201408
36591	3.11557144131532	5.41521462104199	692.206073436919	1.20090294754979e-26	1.06379986103785e-23	chr9	118470180	118472310	chr9:118470180-118472310	210.771018	227.16307	160.897832	165.964533	154.962404	160.45689	1899.037841	1924.778011	1943.735692
27222	3.22957439313896	5.40286500470625	672.246584516512	2.07488887414017e-26	1.7113493105772e-23	chr5	144312740	144315400	chr5:144312740-144315400	138.908642	164.414042	127.865808	686.945197	602.155375	529.458973	1411.208625	1589.872422	1491.294732
29975	3.04228951999028	5.23126567804507	668.213029053622	2.3216532115476e-26	1.79952307782559e-23	chr7	18881400	18883400	chr7:18881400-18883400	159.187297	175.006528	188.246911	259.619036	212.330318	251.235273	1510.008819	1643.690757	1615.710856
5108	4.07035193991399	4.7428388798236	651.559488371233	3.71778587175146e-26	2.71216124232379e-23	chr11	63929860	63931400	chr11:63929860-63931400	73.003045	77.831818	60.144302	55.321518	58.059048	42.690362	1430.968498	1225.25582	1276.857133
6145	2.74982019937857	5.63507460870828	633.345954900241	6.30456918897309e-26	4.11511397676744e-23	chr11	99105740	99107480	chr11:99105740-99107480	175.917166	156.584775	194.640186	1142.1506	1106.439678	1159.510392	1152.678454	1523.497537	1259.022703
33824	2.52270212859549	5.69056929641112	632.426969994524	6.47728218406521e-26	4.15495316651976e-23	chr8	95828080	95829790	chr8:95828080-95829790	318.628127	279.089321	363.588886	384.528015	388.166268	399.792946	2187.413712	2033.422538	1889.276795
15852	2.75847884180807	6.22420386160577	806.146958479839	6.95365782631238e-26	4.3849294818297e-23	chr18	25509580	25511120	chr18:25509580-25511120	277.310357	364.750439	438.532414	981.413162	852.63867	944.586181	2672.567931	2851.007261	2556.686774
34614	2.78941686990689	5.48281989358179	627.076907902004	7.58656988688896e-26	4.62718578101154e-23	chr8	125477360	125479040	chr8:125477360-125479040	212.925685	240.173435	224.949092	376.142651	429.637064	460.025649	1910.15336	1631.581795	1647.346068
