regionID	logFC	logCPM	F	PValue	FDR	V1	V2	V3	V4	DMSO1	DMSO2	DMSO3	PDsiNanog1	PDsiNanog2	PDsiNanog3	t2i1	t2i2	t2i3
5684	4635	1.99448890385761	6.31235570515082	318.0440960886	5.01015869302271e-09	3.4908430368232e-05	chr17	45601330	45602330	chr17:45601330-45602330	3939.796888	3726.058792	5436.864436	1167.460664	1153.815594	993.553244	3678.988125	4219.524624	5324.235389
11583	9945	1.10340856915404	6.72234651867067	306.711669960404	5.99698168153788e-09	3.4908430368232e-05	chr7	139943450	139944450	chr7:139943450-139944450	5362.720625	4790.031928	5697.128764	2561.340607	2345.466184	2579.105303	4848.70878	4980.216049	6085.051647
4326	3412	1.69744683455897	5.83198260095354	244.429707598822	1.83820926995393e-08	7.13347744026788e-05	chr14	105892810	105893810	chr14:105892810-105893810	3044.141108	2780.589403	3263.840225	985.077532	820.451583	1039.367772	2745.883976	2937.885007	3525.152883
2664	1917	1.11148458772242	6.61593513587023	182.325733057455	7.70035935171818e-08	0.000224118958931758	chr11	101784300	101785300	chr11:101784300-101785300	4700.592214	4786.59859	5664.117578	2337.696056	2596.010488	2181.145624	4381.202616	4398.602426	5413.041222
4529	3596	0.880311112922565	6.35149398360851	135.962799937778	3.16500792175028e-07	0.000736940444500334	chr15	61986640	61987640	chr15:61986640-61987640	4164.991222	3927.862374	4502.970978	2336.309184	2148.545774	2465.915894	3322.157416	3437.585596	4046.370794
3697	2847	0.788742391494039	6.56944220698383	126.377205385306	4.48398324812752e-07	0.00087004221624501	chr13	66697650	66698650	chr13:66697650-66698650	4655.744268	4193.212332	5184.252168	2691.018816	2599.287944	2939.338044	3941.364141	4290.644188	4833.114664
4661	3714	1.25113114780869	6.46131778897649	109.883499832997	8.68800681418783e-07	0.00101145775330775	chr15	79932100	79933100	chr15:79932100-79933100	4102.205592	4324.59827	5111.532818	2250.318334	1704.656468	1824.50922	3974.758118	3838.580692	5709.261508
6082	4994	1.01711419131909	6.49392750017634	110.841422051326	8.3402334337739e-07	0.00101145775330775	chr18	38600780	38601780	chr18:38600780-38601780	4524.407204	4175.177604	4087.695	2192.066412	2009.719592	2248.520352	4322.048616	4764.637606	5031.589792
7429	6205	2.3321899478684	5.11520007326869	109.969090146911	8.65623657459676e-07	0.00101145775330775	chr2	152177220	152178220	chr2:152177220-152178220	1792.593082	1449.547916	2635.185684	452.144048	344.982888	371.90886	1707.829098	1667.7257	2555.72823
10171	8674	0.922831912707293	6.12181994191116	110.767861103753	8.36634219375702e-07	0.00101145775330775	chr6	48063580	48064580	chr6:48063580-48064580	3590.310938	3015.883006	3943.21033	1920.225684	1735.043052	1974.529794	2824.120306	3309.404324	3605.913414
3313	2500	1.23932326167753	5.6120259554435	86.767329975907	2.61105696008874e-06	0.00217152919033883	chr12	105023110	105024110	chr12:105023110-105024110	2576.451948	2688.705248	2583.993504	1090.484984	1077.54976	1227.118872	2176.289438	2303.147898	2351.294532
5056	407	1.52566445438475	5.19329059236664	83.0355221662978	3.19625060377057e-06	0.00217152919033883	chr1	135509900	135510900	chr1:135509900-135510900	1982.871648	1516.529684	2349.084774	674.055684	643.49116	725.851202	1700.195872	1756.15077	2295.268186
5631	4588	2.04572365151608	6.50258973874615	87.61759330767	2.70207040867344e-06	0.00217152919033883	chr17	35505660	35506660	chr17:35505660-35506660	4510.312418	3517.385554	6912.815578	1129.666742	1118.959928	1360.970328	3782.030826	4273.16263	7578.377428
5659	4612	0.885704595034785	5.68323340621374	81.5251451763007	3.47696630389715e-06	0.00217152919033883	chr17	36988230	36989230	chr17:36988230-36989230	2394.501672	2066.120097	2739.003964	1344.64289	1331.073518	1264.84859	2407.179494	2517.012322	3055.489918
5725	4672	1.30446804293012	5.71619372307059	85.0969796608985	2.85559394945582e-06	0.00217152919033883	chr17	47703190	47704190	chr17:47703190-47704190	2796.842148	2499.782865	2816.031586	925.785394	1172.286212	1235.203956	2572.238869	2743.899186	2678.209998
6123	503	1.87829029339567	4.79880521225546	80.5431189263408	3.67535282238847e-06	0.00217152919033883	chr1	166130090	166131090	chr1:166130090-166131090	1662.857168	1365.391548	1637.183406	384.530502	433.761067	467.581062	1391.06966	1364.75224	1602.098386
8801	7440	0.763937978850811	6.03990804904123	81.3267971508945	3.51598308562581e-06	0.00217152919033883	chr4	125489790	125490790	chr4:125489790-125490790	3284.711802	2757.403062	3488.223865	1994.7735	1869.40201	1821.813184	3005.397228	2826.8399	3416.081265
10267	8760	0.619482777620817	6.63199634336932	80.2813174640469	3.73050883068001e-06	0.00217152919033883	chr6	65778600	65779600	chr6:65778600-65779600	4706.998108	4558.171326	5098.136502	3220.485934	3138.211656	3146.850156	3692.345672	4256.711582	5110.863652
10330	8817	-1.6006718512933	5.41640343405967	85.3025099518152	2.82406970275004e-06	0.00217152919033883	chr6	83136920	83137920	chr6:83136920-83137920	1312.090718	827.821976	1019.052576	3222.566788	3274.65641	3216.919818	921.655128	1107.704496	1080.581658
11642	9999	0.875190038164555	6.36792458769993	87.5250223593712	2.50843232976529e-06	0.00217152919033883	chr7	144860960	144861960	chr7:144860960-144861960	3579.419978	3594.67191	4510.626528	2287.765652	2062.15117	2104.787378	3759.132588	3639.111288	5261.653688
