regionID	logFC	logCPM	F	PValue	FDR	V1	V2	V3	V4	DMSO1	DMSO2	DMSO3	PDsiNanog1	PDsiNanog2	PDsiNanog3	t2i1	t2i2	t2i3
5953	0.229452170088297	5.01918337324875	3.28963108121789	0.0774163581133015	0.100200925503753	chr11	96201960	96204320	chr11:96201960-96204320	606.3312	470.44523	775.956393	239.14567	278.683484	281.412982	747.593796	827.675865	825.052665
33436	-0.254691877432578	4.68453519598565	3.28000294546568	0.0777409643422653	0.100596569920492	chr8	83824360	83827100	chr8:83824360-83827100	583.010892	624.036774	522.355522	243.501724	157.035952	228.663317	480.008414	569.573557	561.35844
9021	-0.25808016202514	4.46412681106287	3.26345975764595	0.0784646695878225	0.101469517970627	chr13	52560240	52561740	chr13:52560240-52561740	499.868446	507.058239	495.361869	186.873429	174.177166	148.189399	519.528556	435.477149	435.668558
27216	-0.169670161182912	5.72812975129986	3.21960836665167	0.0804197473531919	0.103788563211999	chr5	144182660	144185680	chr5:144182660-144185680	1009.369073	1094.25128	1233.668231	516.188945	559.578666	523.570535	899.089077	1185.789146	1202.971705
26359	-0.189655662853494	5.31503230922799	3.19697532800696	0.0814501164040074	0.105019982006969	chr5	118427110	118429440	chr5:118427110-118429440	834.59292	836.231705	832.667017	419.26726	339.645574	465.791372	824.370824	816.575496	791.931609
14211	0.213234454856601	4.89597820717556	3.19156714153233	0.0816985075971824	0.105325651448532	chr17	14197480	14198980	chr17:14197480-14198980	543.974572	488.636751	624.648292	281.835006	292.507073	272.825863	655.379927	735.064017	736.730009
23652	-0.216219532165041	4.94370054986621	3.17522088982036	0.0824544456570037	0.106167767803039	chr4	125162080	125165160	chr4:125162080-125165160	626.863452	695.420528	791.110786	205.822119	247.995134	182.538125	638.089794	698.288034	676.220542
21158	-0.230824225600336	4.90982554860521	3.16579405136137	0.0829029728712749	0.106697284685062	chr3	65648280	65649920	chr3:65648280-65649920	658.548698	661.801129	749.435916	224.55305	149.294702	253.443408	635.208247	646.264402	670.700531
18431	-0.240747602452146	5.06286213449078	3.18816039140228	0.08300003797161	0.106811124234158	chr2	33448440	33453180	chr2:33448440-33453180	769.574773	667.788062	669.164482	385.072726	256.012809	439.171171	573.869285	701.427532	706.156369
3659	-0.220265014753313	4.81935425108138	3.15774782406841	0.0832711759953157	0.107148927955514	chr10	93539200	93544240	chr10:93539200-93544240	670.462457	574.988581	656.614609	220.632662	189.106675	241.66678	619.976089	587.961361	600.848913
