regionID	logFC	logCPM	F	PValue	FDR	V1	V2	V3	V4	DMSO1	DMSO2	DMSO3	PDsiNanog1	PDsiNanog2	PDsiNanog3	t2i1	t2i2	t2i3
14087	2.86653230436048	5.88022478676927	291.297424812323	1.58401034047348e-12	3.45767482284842e-09	chr3	96597150	96598150	chr3:96597150-96598150	1602.13551	1408.769448	1644.323254	201.105764	177.841903	266.930644	1669.620896	1667.561308	1784.740118
21085	4.06495357512126	4.36733381630716	270.675210380242	2.94530100849828e-12	5.25826743914685e-09	chr7	130260920	130261920	chr7:130260920-130261920	510.349492	396.083008	308.900612	37.060128	42.883868	45.081646	729.54296	818.93585	723.765578
21087	3.82664406643337	5.17600385132353	249.817283360654	5.9498844129888e-12	6.9415245281595e-09	chr7	130265450	130266450	chr7:130265450-130266450	875.23688	870.98405	680.86282	61.040236	116.459134	63.470224	1054.435298	1426.44861	1217.653452
3837	3.23573434342706	5.34867306699002	238.964348514712	8.3862090668803e-12	8.1181729232427e-09	chr11	102605250	102606250	chr11:102605250-102606250	704.29873	553.719454	735.49386	116.630428	151.354817	186.258442	1720.055748	1299.203931	1638.753735
12300	1.99211682780153	6.24637352601351	228.763781939971	1.20726832561105e-11	1.04778401680361e-08	chr2	91975730	91976730	chr2:91975730-91976730	867.429874	858.748642	921.306224	644.737014	569.682977	744.736455	2628.465936	2807.546518	3029.535181
21084	4.24576886374355	4.04754226329419	220.477714860965	1.64156133771766e-11	1.37721524363386e-08	chr7	130259070	130260070	chr7:130259070-130260070	242.84746	378.15685	331.49494	21.255082	34.895706	33.218051	587.62244	601.314	657.96906
21552	2.8427913126095	4.73747744548052	204.026951619578	3.12322442919008e-11	2.31201281347897e-08	chr8	8660020	8661020	chr8:8660020-8661020	272.843796	293.647728	280.573496	137.340464	145.468796	144.142626	937.146142	1329.872738	1048.637842
21086	3.3078042835183	4.65919152362623	194.827255963944	4.57127279800854e-11	3.11602138943971e-08	chr7	130263270	130264270	chr7:130263270-130264270	538.291104	642.781248	439.070644	87.745322	71.47312	80.375851	649.78556	1062.006018	858.237952
11925	2.42682465916846	5.93187004686249	189.77623673275	5.67481633630356e-11	3.57073630921061e-08	chr2	33583080	33584080	chr2:33583080-33584080	1436.538782	1359.543146	1781.2377	235.4409	306.91397	360.653016	1593.969088	1750.107598	1936.895582
8303	2.05673791573418	6.00174857094667	183.619987155607	7.43995749275025e-11	4.07767454158556e-08	chr15	101076610	101077610	chr15:101076610-101077610	1146.026168	1039.43244	1282.814332	533.01183	505.35696	360.653004	2186.283128	2017.648198	2084.115776
21984	2.14027457035776	5.68034988617996	178.168475916263	9.52313838181619e-11	4.89158918228432e-08	chr8	25440190	25441190	chr8:25440190-25441190	1091.786248	1025.490918	1061.59375	338.991328	385.534317	279.090848	1525.94174	1371.63554	1899.473894
12323	2.2501526010557	6.21483916020802	182.335935315688	1.1341649947177e-10	5.38599976453772e-08	chr2	92914650	92915650	chr2:92914650-92915650	1776.361162	1720.62802	1644.323178	518.841744	489.801094	282.946506	2132.330014	2267.896608	2227.223988
7700	2.87574739851551	5.15261897171177	163.559692431892	1.91232494280213e-10	8.91320490470124e-08	chr15	78801395	78802395	chr15:78801395-78802395	1027.273469	1143.00629	1024.329115	120.172933	150.303734	79.782674	972.626189	689.733059	1124.920948
22074	1.52073577986577	6.55713769290719	160.836934106347	2.19127134804264e-10	1.00276561016155e-07	chr8	36102550	36103550	chr8:36102550-36103550	2332.731868	2333.531317	2360.932324	740.112426	858.93897	718.04308	2698.254457	1978.822576	2530.300709
3416	1.43029104932397	6.272098620098	159.21736882474	2.37849472552083e-10	1.05025146923919e-07	chr11	84957410	84958410	chr11:84957410-84958410	1398.73541	1206.175002	1256.510628	803.877748	822.36156	799.902	2336.415066	2227.112916	2526.188576
7701	2.09636123737489	5.38257225678325	152.030773499858	3.4542613376981e-10	1.42525087882825e-07	chr15	78802530	78803530	chr15:78802530-78803530	1537.211634	1320.560916	1345.202186	232.715916	186.670922	157.192684	869.11758	833.291438	966.39127
19701	2.1938505704346	5.38841453923519	150.688385128182	3.71012330840587e-10	1.50613054111721e-07	chr6	128034150	128035150	chr6:128034150-128035150	796.75319	738.67213	537.2037	312.831136	325.833258	236.678693	1437.387744	1345.859586	1550.74997
17377	1.99110273227768	5.82121726817357	143.436471164236	5.51391546666824e-10	1.93465188764551e-07	chr5	111434010	111435010	chr5:111434010-111435010	1330.935158	1201.90693	1354.981244	305.201196	490.221546	341.078156	1647.922242	1597.41456	1646.566756
