regionID	logFC	logCPM	F	PValue	FDR	V1	V2	V3	V4	DMSO1	DMSO2	DMSO3	PDsiNanog1	PDsiNanog2	PDsiNanog3	t2i1	t2i2	t2i3
874	-3.91096839875456	8.09488698121175	1108.18686816577	4.19639153986163e-43	2.47209425613249e-39	chr11	84946240	84949020	chr11:84946240-84949020	1360.189674	1554.794786	1609.215708	1104.25262	1080.451866	1197.29295	97.977678	88.799651	138.853449
4695	-3.94688891684576	7.42825536307532	775.226056203301	2.67208520807963e-38	7.87062698039855e-35	chr7	29228910	29230600	chr7:29228910-29230600	915.834203	1051.996862	1122.614277	684.44111	572.849194	616.67975	61.750655	76.466442	78.768517
5215	-1.84584906007324	9.08494764044806	681.398024724382	1.35174691478684e-36	2.65438035833643e-33	chr8	71527960	71529640	chr8:71527960-71529640	2511.508772	2468.743441	2856.616679	2044.935181	2092.337874	2131.575801	701.899034	784.397074	879.192844
2600	-3.07511761023436	7.7096421642252	665.411675059328	2.76989033376213e-36	3.26348479123854e-33	chr19	10237860	10239380	chr19:10237860-10239380	1074.514685	1065.237215	1078.808993	852.910297	937.791907	882.513421	120.619589	152.708553	141.82584
4554	-2.45196862730706	8.34989610722972	562.704260502886	4.19929028665682e-34	3.53400272552791e-31	chr7	4925000	4926700	chr7:4925000-4926700	909.497159	900.362537	1044.237608	2098.297184	1973.454513	2391.152243	195.132091	221.550688	148.619871
1753	-3.10738311240954	8.12707264552842	658.84412711973	6.90619460618247e-34	5.08554905312762e-31	chr15	76463000	76464500	chr15:76463000-76464500	785.290498	894.83573	976.516304	1749.815243	1806.465678	1908.309199	73.277444	119.745007	141.401223
1771	-2.77638321871095	7.77329773166626	525.90651011027	3.10818192804061e-33	1.83102997380872e-30	chr15	78839080	78840700	chr15:78839080-78840700	755.379267	699.565369	815.026255	1351.239475	1218.133788	1413.689742	125.147958	125.126788	108.704854
1975	-1.78718936507474	8.67853270797497	507.595422261805	8.82031827642619e-33	4.72368136058425e-30	chr16	18400170	18401740	chr16:18400170-18401740	1479.959648	1699.289687	1671.016974	1884.961335	2023.22004	2144.946135	494.416852	520.801185	509.129082
1948	-2.5893761251957	7.75934765916465	463.20701064922	1.27829575992916e-31	6.27536693478556e-29	chr16	4641540	4643120	chr16:4641540-4643120	661.083615	625.418001	718.89	1289.383895	1427.146887	1471.10076	116.0912	132.302516	112.951155
5127	-3.05460954188134	7.12076426626667	441.409348377595	5.16495104865636e-31	2.02844844184231e-28	chr8	47408610	47410110	chr8:47408610-47410110	802.7807	700.716628	824.497663	565.848112	498.201813	493.638286	106.211119	108.98146	88.53502
5363	-1.97296095951752	8.37514385168296	427.403128371492	1.30818401830788e-30	4.5332423834422e-28	chr8	105520380	105522060	chr8:105520380-105522060	1015.199557	1109.909438	1327.673325	1743.062927	1794.853386	2134.764463	268.821183	321.562387	362.42016
5658	-1.51242510719123	8.90452770837356	413.023319706836	3.49269298342156e-30	1.08291865080718e-27	chr9	62524200	62526080	chr9:62524200-62526080	1845.102599	1845.39749	2034.013734	2167.121936	2247.161186	2239.773412	615.036334	829.469723	737.578938
4027	-3.17558895828887	7.12354937340109	397.305316282179	1.05748087981626e-29	3.11480993149879e-27	chr5	134101500	134103000	chr5:134101500-134103000	475.027315	428.305435	393.542672	895.598644	947.744774	907.784346	46.930487	56.95736	52.229262
79	-3.10606983624604	7.3487237254153	372.152798589097	6.7497043256943e-29	1.65677117427771e-26	chr1	74767900	74770240	chr1:74767900-74770240	326.993026	337.578363	422.430833	1275.880905	1166.710628	1263.046055	52.693883	34.98171	48.407646
2534	-3.03938962119766	7.00598476118211	367.846214084983	9.37021346858722e-29	2.20799710173789e-26	chr19	4211440	4213030	chr19:4211440-4213030	675.912616	502.913314	644.360964	518.040652	579.622698	713.837305	88.920903	77.475483	73.885321
1791	-5.13799070786544	6.39714392632375	432.184083156915	1.37951655694823e-27	2.80232139206276e-25	chr15	79800180	79802460	chr15:79800180-79802460	645.621445	702.789789	691.185911	159.648267	106.718076	151.378944	34.992021	17.939345	9.34182
