regionID	logFC	logCPM	F	PValue	FDR	V1	V2	V3	V4	DMSO1	DMSO2	DMSO3	PDsiNanog1	PDsiNanog2	PDsiNanog3	t2i1	t2i2	t2i3
32951	-1.79149011810117	5.90966199360381	417.387276005827	1.45729048618956e-20	5.85476992897232e-18	chr5	113591490	113592490	chr5:113591490-113592490	2378.684806	2214.408216	2581.113347	1428.340462	1337.017248	1528.021318	799.670476	771.614908	735.349772
31192	-3.83594413269751	4.00127191334957	398.632530129051	2.98608844140172e-20	9.70128650327947e-18	chr4	151372580	151373580	chr4:151372580-151373580	950.561154	967.140976	1206.91154	80.36866	61.376696	86.116786	85.215896	88.799678	68.789744
45225	-1.71481779782194	5.5888696902378	336.189868196413	4.1671906960221e-19	7.73674734441877e-17	chr9	63138420	63139420	chr9:63138420-63139420	1870.703288	1866.582774	1958.47836	1153.258078	1131.321658	1112.893824	582.925794	702.3247	650.955
30476	-1.37474777253863	6.39795933579341	301.024291135543	2.25543483994634e-18	3.11580716833408e-16	chr4	136732420	136733420	chr4:136732420-136733420	2949.781192	2934.58261	2859.932426	2299.326974	2346.4142	2245.660794	1336.28354	1221.668508	1200.635842
5869	-2.36398526949268	4.61762594673017	284.213000180307	5.39040655157416e-18	6.34828179578889e-16	chr11	34318065	34319065	chr11:34318065-34319065	1049.989409	1172.140545	1243.850167	459.179494	414.292773	498.48368	277.877988	232.594543	237.420283
21758	-2.13461405302388	4.86512055400702	277.545351963113	7.71418864755792e-18	8.47086244310393e-16	chr19	29940460	29941460	chr19:29940460-29941460	1164.247176	1347.089816	1442.04262	576.9558	534.143326	583.680652	281.58303	384.125898	337.57944
33314	-2.59969658171707	4.30228193112528	271.47547942681	1.07631988909455e-17	1.12175392335102e-15	chr5	120300360	120301360	chr5:120300360-120301360	994.66766	1041.058246	1187.020996	182.953024	226.430342	246.573734	187.721978	182.981156	220.382108
44245	-1.58785586640248	5.56224989521637	265.977270497677	1.46380805859649e-17	1.4517277899866e-15	chr9	21844975	21845975	chr9:21844975-21845975	1906.635398	1766.414984	1981.564388	939.431161	1114.526571	1030.457096	676.478497	668.520349	750.796248
25566	-2.22719463997811	4.60490182536753	262.706610436629	1.76236171118618e-17	1.70125687480652e-15	chr2	166216635	166217635	chr2:166216635-166217635	1155.502474	1177.839714	1293.22063	379.954133	353.123468	309.321185	285.288036	280.021759	296.65591
20032	-1.71132354383631	5.24061605795461	246.80751399083	4.47845472194423e-17	3.79629401408572e-15	chr18	25582680	25583680	chr18:25582680-25583680	1522.419156	1501.140944	1755.31375	667.779072	803.703326	786.828106	515.00046	605.452104	505.095178
42380	-1.40282245584857	5.65123756535588	244.071771101671	5.28615919528949e-17	4.35350327572897e-15	chr8	84127260	84128260	chr8:84127260-84128260	1776.409114	1809.244576	1816.405016	1282.632302	1329.552704	1260.837862	752.122382	789.1065	736.94224
31963	-1.80311883341304	5.07971543538365	243.951727477439	5.32496058302062e-17	4.35814352927292e-15	chr5	38002030	38003030	chr5:38002030-38003030	1412.913982	1552.952184	1509.526718	522.069849	672.240807	628.947276	467.45233	487.388895	474.522072
13628	-1.29682687963319	6.09265402035679	241.768719025462	6.08579177440759e-17	4.85092180894743e-15	chr14	70625380	70626380	chr14:70625380-70626380	2169.560888	2274.163496	2522.50855	1811.23466	1846.277816	1952.716918	1057.170108	1157.086824	942.67502
31694	-2.30879185402437	4.54440020914155	237.644739879178	7.85522432520017e-17	6.01697410587853e-15	chr5	28462270	28463270	chr5:28462270-28463270	1039.15356	947.79912	1307.073536	442.35409	353.745618	489.467317	238.97503	238.817336	260.509486
36539	-1.67761926444639	5.39966782772211	234.817167724542	9.37860658533941e-17	6.95759683499478e-15	chr6	113408780	113409780	chr6:113408780-113409780	1803.023954	1919.084024	2020.27945	616.15996	599.66705	701.447178	527.350448	784.3972	692.9931
35815	-2.05770096503006	4.81756056750921	225.257870400059	1.73202226433229e-16	1.17230035672651e-14	chr6	82860170	82861170	chr6:82860170-82861170	1237.251154	1182.674962	1375.268438	469.47063	525.01987	631.522951	331.601134	287.926198	394.267328
18464	-2.19521119479679	4.36745308171607	224.269341683845	1.84784367079244e-16	1.23722194929061e-14	chr17	30835505	30836505	chr17:30835505-30836505	971.6639	866.627978	973.378322	406.744088	406.620827	388.261835	225.698694	237.639928	221.019043
14489	-2.06170091768698	4.83124683667657	220.702708516807	2.33884052390043e-16	1.50516529234838e-14	chr15	37262485	37263485	chr15:37262485-37263485	1070.522381	1166.0958	1469.21398	683.623649	601.740795	529.581585	284.053026	380.930229	322.292674
