regionID	logFC	logCPM	F	PValue	FDR	V1	V2	V3	V4	DMSO1	DMSO2	DMSO3	PDsiNanog1	PDsiNanog2	PDsiNanog3	t2i1	t2i2	t2i3
10708	-3.71720866589999	5.78773533666686	1170.93425021507	5.73689490961232e-31	1.06720587556063e-26	chr14	64054240	64056260	chr14:64054240-64056260	1391.621894	1391.762731	1340.697292	1268.474414	1265.687356	1374.434138	130.911383	115.708647	100.636889
31269	-3.23357477337119	6.03147415211491	1213.74366979731	2.88676254104309e-31	1.06720587556063e-26	chr7	99435970	99437660	chr7:99435970-99437660	1613.545487	1648.630677	1716.125201	1396.977857	1565.382466	1403.262452	190.809501	188.699284	206.475535
12298	-3.59920987736671	5.54602817757816	1036.29604078892	5.89774713991174e-30	2.43806313711574e-26	chr15	85479530	85481340	chr15:85479530-85481340	1339.277443	1370.117232	1655.152329	764.156296	797.06786	737.513072	133.381394	134.20856	130.254741
31270	-3.14763292731027	5.87215660684625	1036.49909438548	5.87579085794848e-30	2.43806313711574e-26	chr7	99441100	99442860	chr7:99441100-99442860	1399.733191	1304.719975	1505.027616	1390.443061	1310.752188	1471.591352	185.251955	169.078185	171.125148
32402	-4.82116603939452	5.12110293589195	1077.08629809432	2.82671985786366e-30	2.43806313711574e-26	chr8	20511700	20514620	chr8:20511700-20514620	962.221655	943.423097	1097.278054	690.648316	748.961833	699.484478	39.932084	34.981696	42.250497
34277	-3.3094645715474	6.30937088340816	1128.88854176728	5.78371772121159e-30	2.43806313711574e-26	chr8	119791240	119792880	chr8:119791240-119792880	1608.603003	1671.081867	1790.831805	2128.788678	2170.026399	2148.994562	193.485345	148.223734	223.779104
4931	-3.13398462394076	6.08643542333764	1039.51912277284	5.55917962544829e-30	2.43806313711574e-26	chr11	57883260	57884780	chr11:57883260-57884780	1385.792047	1616.73769	1613.00377	1722.15417	1634.777411	1794.46811	158.081634	219.308304	205.09546
5889	-3.86695211213162	5.58894579497213	1061.40750675384	3.73809330041146e-30	2.43806313711574e-26	chr11	95138560	95140060	chr11:95138560-95140060	1422.039781	1203.399623	1323.17366	1051.10964	927.838792	1054.992423	106.211061	92.836117	100.636865
25229	-3.37171544229694	5.88863288515307	987.003671811868	1.49020826030582e-29	5.0402907567889e-26	chr5	33704420	33706260	chr5:33704420-33706260	774.136962	842.794287	903.111549	2106.137914	1946.913137	2241.735116	93.860961	93.508749	81.740969
33504	-2.21450415030713	7.00216052359983	930.680634077272	4.54591897019026e-29	1.4094242940494e-25	chr8	84742200	84746540	chr8:84742200-84746540	2188.065217	2227.188193	2377.356674	3804.551373	3611.272699	3812.692473	460.248117	610.834005	552.016831
10707	-5.06847271937028	4.89444723106839	925.671864753936	5.03560454095476e-29	1.44115128420171e-25	chr14	64048530	64050040	chr14:64048530-64050040	712.667433	744.813748	737.241262	753.048042	706.385362	780.816874	22.230216	28.254495	21.656019
28580	-6.19329538693528	4.6101828929473	912.265758075188	6.63918582832174e-29	1.67627726713085e-25	chr6	89239000	89241180	chr6:89239000-89241180	941.435658	817.004152	815.973563	372.657851	361.625003	311.590658	9.8801	14.799971	14.012736
5888	-3.60303812096803	5.60472782109393	911.410050153112	6.75827415857081e-29	1.67627726713085e-25	chr11	95136580	95138120	chr11:95136580-95138120	1072.740374	1053.262826	1194.361377	1246.694502	1206.522817	1326.836941	121.031271	85.660297	95.116713
17011	-3.62859581739114	5.45651021161662	883.700865503256	1.21251453783865e-28	2.81947521126794e-25	chr19	10242460	10244040	chr19:10242460-10244040	1082.372461	1115.896616	1048.973359	1040.655458	931.156861	1153.621997	103.741058	90.145136	96.815252
5643	-5.08340175515729	5.18783610497479	878.589916829586	1.35313736067534e-28	2.96138091199566e-25	chr11	84966640	84968340	chr11:84966640-84968340	541.439629	517.190093	516.19901	1239.724576	1416.087718	1290.525676	17.29017	13.454509	20.382116
24781	-4.88167559026975	4.98333853976582	854.707011016881	2.27828192793466e-28	4.70908217382272e-25	chr4	152227630	152229200	chr4:152227630-152229200	747.775065	696.226401	806.265089	826.120903	717.305611	923.854152	27.170268	34.084742	22.929918
24795	-2.3079988434329	6.3704295545229	845.225460888263	2.81266195043073e-28	5.4889421200355e-25	chr4	152344020	152346420	chr4:152344020-152346420	1686.675627	1873.721488	2027.383593	1876.575662	1866.460492	2054.535738	379.972369	436.149908	432.90847
5547	-4.01431819460367	5.66017839038773	887.313784841025	2.95064755814299e-28	5.4889421200355e-25	chr11	80338910	80340440	chr11:80338910-80340440	840.422684	895.180992	975.213632	1628.935287	1605.747164	1588.744788	83.775037	54.827107	46.496798
30314	-3.9732117040056	5.0998358670541	806.635413891211	6.79174620072136e-28	9.71872759222455e-25	chr7	29229000	29230500	chr7:29229000-29230500	914.566792	1052.342271	1122.851071	684.33221	573.402145	617.293114	61.750655	76.690682	78.98083
24888	-4.94482572620899	4.83265976542221	803.45173858789	7.31719276294701e-28	1.00828206202016e-24	chr4	155264980	155266790	chr4:155264980-155266790	741.184368	721.556529	826.273811	708.181	557.643537	675.562876	20.377706	32.290819	29.29935
659	-2.47545227436314	6.23428746751232	796.531258401021	8.61226798753238e-28	1.10489458784877e-24	chr1	74897400	74899440	chr1:74897400-74899440	1649.160389	1509.200751	1724.057777	1876.574962	1795.407132	1963.021257	293.933021	379.192512	300.212186
10308	-4.74542283979092	4.8600785815234	766.297010673709	1.78382178975322e-27	2.14087386089576e-24	chr14	32859250	32861270	chr14:32859250-32861270	553.353586	556.106348	580.605745	861.18639	899.638807	901.159788	24.700244	26.909006	17.834385
2909	-3.25063492744134	5.58261725827379	758.385834349333	2.16800364608344e-27	2.5206429891417e-24	chr10	59933580	59935120	chr10:59933580-59935120	948.533002	993.852523	949.52222	1174.384197	1502.346734	1400.931604	98.801072	123.332913	114.649617
