regionID	logFC	logCPM	F	PValue	FDR	V1	V2	V3	V4	DMSO1	DMSO2	DMSO3	PDsiNanog1	PDsiNanog2	PDsiNanog3	t2i1	t2i2	t2i3
824	0.413600702434882	6.49733916880473	4.62583559173407	0.0546557084245043	0.10099295697935	chr1	84889660	84890660	chr1:84889660-84890660	760.267874	1492.171642	1379.491044	479.185124	409.475682	505.936492	1353.27826	1881.221808	1882.346174
27015	0.43966038075277	6.07220252299944	4.4577574283833	0.0585250383189449	0.106791311125636	chr7	100699690	100700690	chr7:100699690-100700690	514.202418	1034.524398	1063.670034	503.688824	363.503183	329.529908	1005.795266	1362.33339	1365.518024
21447	0.362921910684784	6.33521063094808	4.4161055999512	0.0595350320167461	0.108116952260775	chr4	146497350	146498350	chr4:146497350-146498350	1006.741564	1227.293004	1236.277203	360.069447	237.453082	216.51035	1205.158525	1748.180019	1872.059174
5954	0.545012787996989	5.41140339502293	4.41270234786629	0.0596184918335262	0.108244260741323	chr12	22297490	22298490	chr12:22297490-22298490	383.40393	616.42314	684.29276	252.525056	132.571762	122.465565	642.6015	988.38197	989.830954
26729	-0.503729644606769	4.78543720606364	4.40551882966724	0.0596484881394621	0.108270756035221	chr7	79868500	79869500	chr7:79868500-79869500	401.388616	579.2325	592.96304	80.3179	131.288766	97.276364	249.110968	415.98996	538.224676
31	-0.494983982901466	4.94484078639476	4.37817051086012	0.0603895948002072	0.109356410538155	chr1	7051980	7052980	chr1:7051980-7052980	343.346772	583.523978	694.686814	185.139566	233.283506	156.10619	260.332172	449.620532	522.999928
9683	0.352206647589454	5.40495103083936	4.30858338213203	0.0620657462808811	0.111792144881983	chr14	111261460	111262460	chr14:111261460-111262460	467.605452	644.694918	715.98604	158.593862	158.444632	130.088578	861.041248	746.374478	846.016858
32237	0.680517268600587	6.1286494452257	4.25939472566501	0.0635308409467893	0.113870405663487	chrX	156303430	156304430	chrX:156303430-156304430	326.179392	1077.52061	1232.443134	376.40516	300.53158	265.480052	977.367522	1727.494732	1718.162674
479	0.367431017206168	7.83860580990781	4.21181156058217	0.0648084846274926	0.115665464828762	chr1	52952880	52953880	chr1:52952880-52953880	3094.207992	3398.993822	3417.97221	934.547188	586.09546	538.50014	3426.585494	5060.381584	5417.84077
13487	0.655473598380973	5.7230309918812	4.20142316174789	0.0650915865189911	0.116049327279706	chr17	76500240	76501240	chr17:76500240-76501240	279.582288	809.107936	884.333296	318.549148	193.084346	251.891094	771.271446	1174.593258	1314.906206
11380	0.407779913962859	5.47287106564273	4.15833429650984	0.0661751341788218	0.117615683157018	chr16	16085490	16086490	chr16:16085490-16086490	474.962648	670.021742	649.277498	289.961438	187.097232	154.283362	763.416438	854.43223	913.809128
16934	0.349861639795254	6.55040203803965	4.1163462847784	0.067467945358077	0.119432116466111	chr2	115723330	115724330	chr2:115723330-115724330	994.479962	1445.051662	1360.23621	672.152546	436.524256	396.314062	1397.78922	1841.189606	1940.880148
25647	-0.258670668581912	6.16136501686138	4.07278027334122	0.0685449217775489	0.120869944206116	chr7	3193440	3194440	chr7:3193440-3194440	1107.701456	1242.269866	1100.559894	481.907648	450.529974	373.693708	894.704996	1073.605042	1146.812996
8792	0.624788258909161	7.72981515374584	4.07924119362683	0.0685375645714059	0.120869944206116	chr14	20216430	20217430	chr14:20216430-20217430	3420.797089	2079.313808	2017.01143	1549.524208	789.22964	758.32496	3863.837881	4453.020918	4539.315724
4525	0.44651888726348	6.7516513501548	4.03128956875876	0.0699508039768277	0.122861143352452	chr11	63270710	63271710	chr11:63270710-63271710	873.490674	1567.394414	1604.7487	823.259447	659.758342	662.04293	1137.457372	2291.908457	2507.08572
13300	0.610615916713072	5.6526329802181	4.02337186854312	0.0701875787914261	0.123196911095022	chr17	58932130	58933130	chr17:58932130-58933130	689.963346	493.91279	547.894382	445.152104	229.862316	235.567971	1109.029892	858.062626	875.437706
22818	0.704787427912711	6.08449069856407	4.02004893725976	0.0702872420064119	0.123351807529633	chr5	109682540	109683540	chr5:109682540-109683540	504.39268	950.63462	927.442058	318.548962	456.30328	363.916374	495.2296	1865.74299	1880.288338
31812	-0.679931690973958	4.63880552532421	3.9954053289975	0.0710318076266784	0.124456357819924	chrX	83050120	83051120	chrX:83050120-83051120	258.327548	607.336028	688.893618	100.057026	61.795596	68.11	188.516306	378.537404	468.889212
1640	-0.449894271205302	5.61260563829871	3.87886597480251	0.0746868099118013	0.129526522069871	chr1	167915530	167916530	chr1:167915530-167916530	553.44182	961.15204	1095.533266	281.793365	243.333338	279.648829	443.985769	703.380294	900.230298
25004	-0.421066141718759	4.84057734965174	3.84843335484447	0.0754940924962571	0.130629684122914	chr6	113296370	113297370	chr6:113296370-113297370	545.267142	486.424306	532.73002	130.006112	110.01316	80.787424	424.535912	377.15203	456.338824
9596	-0.399094911596249	5.00379294031471	3.8145350354858	0.0766178974791891	0.132228385491423	chr14	91676700	91677700	chr14:91676700-91677700	404.658684	551.802044	665.549976	169.484412	246.754528	189.41549	309.70553	470.066476	543.162386
1583	-0.637040000556044	5.67077662599648	3.81862508897602	0.0766666607580397	0.132291412495082	chr1	164375370	164376370	chr1:164375370-164376370	1348.862342	762.745808	872.405886	211.345054	130.326585	100.093573	790.347704	587.774202	718.456102
13429	0.594270497691292	5.7762509510627	3.77470560030672	0.0781508742458802	0.134287767800395	chr17	70871930	70872930	chr17:70871930-70872930	718.167294	630.054212	621.759563	481.907892	225.158128	167.540667	933.979148	1197.236072	1106.282033
11075	0.547392718907022	6.60561037223173	3.769933763282	0.0783142538804525	0.134464925490072	chr15	100269820	100270820	chr15:100269820-100270820	1182.911104	1269.1962	1319.512908	644.585744	346.824796	220.238952	1350.286362	2311.734022	2358.43662
28934	-0.874065902666568	5.62384049128918	3.75475436003985	0.0788367734351445	0.135136843512963	chr8	87975320	87976320	chr8:87975320-87976320	1281.828002	845.962184	840.201542	384.573392	115.893422	95.12207	662.051852	527.773726	570.423462
29936	-0.57987183712283	4.89956697500405	3.74387979367278	0.0792137474131139	0.135632412642272	chr9	31254150	31255150	chr9:31254150-31255150	643.979622	459.41454	443.27401	257.970273	138.131211	142.351684	363.193347	343.56898	428.254813
9000	0.474950590251137	5.79182198420733	3.73290042546633	0.0795966079703793	0.136186389422827	chr14	34258320	34259320	chr14:34258320-34259320	640.914018	813.147188	833.300512	279.07091	128.08139	134.231446	978.48991	1176.503746	1247.421744
19766	0.558296892651966	5.52705650299827	3.68987535918346	0.08111906772332	0.138283263176836	chr4	13420710	13421710	chr4:13420710-13421710	266.911122	685.588044	698.009639	256.609112	369.704316	331.84995	536.374066	924.751399	1118.421039
