regionID	logFC	logCPM	F	PValue	FDR	V1	V2	V3	V4	DMSO1	DMSO2	DMSO3	PDsiNanog1	PDsiNanog2	PDsiNanog3	t2i1	t2i2	t2i3
5684	4635	2.02856024814922	6.31235570515082	328.321438311919	4.27900196983943e-09	2.85103609407065e-05	chr17	45601330	45602330	chr17:45601330-45602330	3939.796888	3726.058792	5436.864436	1167.460664	1153.815594	993.553244	3678.988125	4219.524624	5324.235389
11583	9945	1.12667767110732	6.72234651867067	319.50171765485	4.89784589257971e-09	2.85103609407065e-05	chr7	139943450	139944450	chr7:139943450-139944450	5362.720625	4790.031928	5697.128764	2561.340607	2345.466184	2579.105303	4848.70878	4980.216049	6085.051647
4326	3412	1.73269961920082	5.83198260095354	254.193463318135	1.51606063705803e-08	5.88332597887654e-05	chr14	105892810	105893810	chr14:105892810-105893810	3044.141108	2780.589403	3263.840225	985.077532	820.451583	1039.367772	2745.883976	2937.885007	3525.152883
2664	1917	1.03504130111515	6.61593513587023	158.465236886467	1.51776715644336e-07	0.000441746130882839	chr11	101784300	101785300	chr11:101784300-101785300	4700.592214	4786.59859	5664.117578	2337.696056	2596.010488	2181.145624	4381.202616	4398.602426	5413.041222
6082	4994	1.17462059176926	6.49392750017634	147.066688748535	2.17337822109624e-07	0.000506049385000048	chr18	38600780	38601780	chr18:38600780-38601780	4524.407204	4175.177604	4087.695	2192.066412	2009.719592	2248.520352	4322.048616	4764.637606	5031.589792
4661	3714	1.25694768178295	6.46131778897649	110.876661629665	8.32776048789476e-07	0.00107724208444523	chr15	79932100	79933100	chr15:79932100-79933100	4102.205592	4324.59827	5111.532818	2250.318334	1704.656468	1824.50922	3974.758118	3838.580692	5709.261508
5659	4612	1.05623003875544	5.68323340621374	115.312736994891	6.9213837693502e-07	0.00107724208444523	chr17	36988230	36989230	chr17:36988230-36989230	2394.501672	2066.120097	2739.003964	1344.64289	1331.073518	1264.84859	2407.179494	2517.012322	3055.489918
7429	6205	2.3706510618016	5.11520007326869	113.315417902554	7.51628739072833e-07	0.00107724208444523	chr2	152177220	152178220	chr2:152177220-152178220	1792.593082	1449.547916	2635.185684	452.144048	344.982888	371.90886	1707.829098	1667.7257	2555.72823
11642	9999	1.00287775177128	6.36792458769993	114.515882433556	7.15172183908189e-07	0.00107724208444523	chr7	144860960	144861960	chr7:144860960-144861960	3579.419978	3594.67191	4510.626528	2287.765652	2062.15117	2104.787378	3759.132588	3639.111288	5261.653688
3697	2847	0.707473588234431	6.56944220698383	101.825201517953	1.24187672221873e-06	0.00144579288000705	chr13	66697650	66698650	chr13:66697650-66698650	4655.744268	4193.212332	5184.252168	2691.018816	2599.287944	2939.338044	3941.364141	4290.644188	4833.114664
8606	7265	1.01497306148032	6.4278615725716	97.693373911143	1.50681220578405e-06	0.00159475524543072	chr4	98726305	98727305	chr4:98726305-98727305	3931.948406	3383.422845	5060.581061	2214.25727	2107.73193	2323.082008	3690.437787	3995.893451	5475.924278
5631	4588	2.12425377708622	6.50258973874615	94.0324962385113	1.95436609253361e-06	0.00189606083743969	chr17	35505660	35506660	chr17:35505660-35506660	4510.312418	3517.385554	6912.815578	1129.666742	1118.959928	1360.970328	3782.030826	4273.16263	7578.377428
10171	8674	0.83102335483273	6.12181994191116	90.02558144752	2.20234326594955e-06	0.00197228310016805	chr6	48063580	48064580	chr6:48063580-48064580	3590.310938	3015.883006	3943.21033	1920.225684	1735.043052	1974.529794	2824.120306	3309.404324	3605.913414
5725	4672	1.3101426224361	5.71619372307059	85.8085255183052	2.7482139818717e-06	0.00223241952659339	chr17	47703190	47704190	chr17:47703190-47704190	2796.842148	2499.782865	2816.031586	925.785394	1172.286212	1235.203956	2572.238869	2743.899186	2678.209998
10330	8817	-1.59748166519689	5.41640343405967	84.9632272443104	2.87633507119918e-06	0.00223241952659339	chr6	83136920	83137920	chr6:83136920-83137920	1312.090718	827.821976	1019.052576	3222.566788	3274.65641	3216.919818	921.655128	1107.704496	1080.581658
5056	407	1.52653721714582	5.19329059236664	83.1200811586424	3.18135219784322e-06	0.00230010271756481	chr1	135509900	135510900	chr1:135509900-135510900	1982.871648	1516.529684	2349.084774	674.055684	643.49116	725.851202	1700.195872	1756.15077	2295.268186
10373	8856	1.81108535736195	5.22094374641043	82.1431368992276	3.35867945358201e-06	0.00230010271756481	chr6	86496870	86497870	chr6:86496870-86497870	2141.117338	1720.908896	1719.472618	643.542734	624.4249	594.245462	2159.115706	2236.315446	1870.902181
4529	3596	0.676977247721303	6.35149398360851	80.7534788037104	3.63174013548818e-06	0.00234892881429741	chr15	61986640	61987640	chr15:61986640-61987640	4164.991222	3927.862374	4502.970978	2336.309184	2148.545774	2465.915894	3322.157416	3437.585596	4046.370794
3695	2845	0.778252530085032	6.51996553690943	76.5510321225721	4.63507148884029e-06	0.00261999869304375	chr13	66588790	66589790	chr13:66588790-66589790	3939.156156	4396.73018	4673.289748	2622.018888	2627.58968	2644.684242	4104.51348	4414.02465	4594.707586
8801	7440	0.745187243045633	6.03990804904123	77.4036870792203	4.40704642610966e-06	0.00261999869304375	chr4	125489790	125490790	chr4:125489790-125490790	3284.711802	2757.403062	3488.223865	1994.7735	1869.40201	1821.813184	3005.397228	2826.8399	3416.081265
10799	9239	-1.92295673438926	4.74208723258841	76.2249471123075	4.72598974007205e-06	0.00261999869304375	chr7	16174730	16175730	chr7:16174730-16175730	651.240232	548.732552	555.455914	2325.907154	2050.831002	2200.909192	515.210584	580.928012	582.310438
6123	503	1.80203288041657	4.79880521225546	74.4626970215709	5.25593230961953e-06	0.00266041582385176	chr1	166130090	166131090	chr1:166130090-166131090	1662.857168	1365.391548	1637.183406	384.530502	433.761067	467.581062	1391.06966	1364.75224	1602.098386
9315	7903	1.3704892937436	5.9553849643353	74.5053379943618	5.24229518714132e-06	0.00266041582385176	chr5	33534855	33535855	chr5:33534855-33535855	3350.060094	3205.234884	2785.890318	1345.162662	1240.507807	1285.51113	3313.093951	3376.236127	2916.021337
11097	9507	2.0616295764708	4.59961015623348	72.0638683505844	6.0963200014383e-06	0.00295722322736436	chr7	45558730	45559730	chr7:45558730-45559730	1546.256153	1020.179392	1441.98405	347.429786	301.18973	337.77227	1147.775842	1224.575736	1659.315991
522	10467	-0.87251049406207	5.7188311891227	66.717624918006	8.62500386594393e-06	0.00327835757887551	chr8	94532710	94533710	chr8:94532710-94533710	1858.58213	1706.31019	2180.199836	3280.124086	3142.681256	2690.049732	1425.417678	1604.663548	1808.619116
645	10578	0.90778235721572	6.14982365029019	67.9529992802355	7.94357539229568e-06	0.00327835757887551	chr8	110970020	110971020	chr8:110970020-110971020	3500.93732	2851.005586	4103.005146	1739.229198	1787.475682	2131.738052	3039.745708	3162.716006	4182.263816
2214	1511	1.74984336984402	5.62818143488226	69.0940879192645	7.5788038257693e-06	0.00327835757887551	chr11	62511525	62512525	chr11:62511525-62512525	2615.53356	1946.327168	3683.900388	876.896075	696.370612	821.298585	2016.955793	2170.681959	3785.761484
2757	200	0.60712767268118	6.3097062235683	67.8569210327084	7.99420466396083e-06	0.00327835757887551	chr1	72824150	72825150	chr1:72824150-72825150	3461.537066	3325.886648	4215.435667	2564.461318	2433.946598	2469.06082	3387.036209	3370.410711	4329.480226
2849	2083	0.577587702913295	6.58749788525866	69.1606171634657	7.33879895001861e-06	0.00327835757887551	chr11	120234030	120235030	chr11:120234030-120235030	4255.325599	3699.437893	4860.836111	3115.771793	3302.66028	2964.040522	4275.298233	4227.578319	5110.264496
4399	3479	2.23713423786894	5.33093824069851	65.5052492965771	9.57431349267887e-06	0.00327835757887551	chr15	12098490	12099490	chr15:12098490-12099490	2783.068096	1422.92665	3115.049429	434.460432	460.870856	485.99671	1353.860037	2111.904348	2993.504098
5545	451	1.76025276735146	4.7349209943815	67.5045934177684	8.18320036387965e-06	0.00327835757887551	chr1	153093280	153094280	chr1:153093280-153094280	1310.809274	1401.458064	1400.839026	423.0182	458.18975	452.75856	1263.220316	1455.23238	1689.11738
5709	4658	2.40570529641514	4.15712346797463	65.8695544223052	9.13345553127845e-06	0.00327835757887551	chr17	46810270	46811270	chr17:46810270-46811270	919.680359	765.993158	1124.307482	221.564426	213.901254	183.25946	875.858682	942.165736	1406.60458
8967	7590	-0.655575880887981	6.17621788662749	65.3945984892724	9.43386730744313e-06	0.00327835757887551	chr4	137861790	137862790	chr4:137861790-137862790	2885.894511	2292.827435	2974.869759	3779.771849	3856.777192	4027.213685	2242.122172	2271.616626	2685.06463
11194	9595	-0.791124670274938	6.31640248903997	66.5162795669788	8.74258678258981e-06	0.00327835757887551	chr7	73375095	73376095	chr7:73375095-73376095	3129.188742	2504.505808	2789.238998	4694.98128	4592.174565	4374.193531	2303.184374	2672.268373	2671.6536
4391	3471	1.65748508554793	5.06974341153834	64.1879648889068	1.02518554339046e-05	0.00341006002747191	chr15	9737430	9738430	chr15:9737430-9738430	2107.481394	1419.491474	2149.101694	588.064632	518.36822	569.990564	1265.129296	1751.694638	2177.554113
3313	2500	1.05596439600239	5.6120259554435	63.4187391955496	1.08177180827481e-05	0.00349832983109314	chr12	105023110	105024110	chr12:105023110-105024110	2576.451948	2688.705248	2583.993504	1090.484984	1077.54976	1227.118872	2176.289438	2303.147898	2351.294532
5583	4544	0.520444520377467	6.76775403516426	61.9361132934062	1.20175185972322e-05	0.00358738337202505	chr17	33817070	33818070	chr17:33817070-33818070	4985.689104	4684.408748	5535.420487	3512.438321	3691.733559	3375.026194	4370.706929	4975.759592	5398.439733
7428	6204	1.11558143099215	6.28372225990996	62.76302493899	1.16375125342221e-05	0.00358738337202505	chr2	152143170	152144170	chr2:152143170-152144170	4303.055498	3688.274691	3544.199736	1963.914356	2003.760388	1612.05335	3994.793977	3878.679231	3763.262091
8837	7473	2.04073793638207	4.84107896654722	62.0420425784538	1.19266836164178e-05	0.00358738337202505	chr4	129231270	129232270	chr4:129231270-129232270	1606.798597	1104.33538	2278.278145	421.28449	319.06432	402.90123	1229.826914	1464.486877	1916.497341
10174	8677	1.13930743485415	5.4980288116483	59.4819588287402	1.4373488596505e-05	0.00411436322836283	chr6	48437850	48438850	chr6:48437850-48438850	2614.251928	2092.741494	2288.803342	992.012074	992.94276	1122.01454	2163.885719	2264.077565	2176.958204
11166	957	1.19342567151603	5.27798541908478	59.3735962665435	1.44896832471119e-05	0.00411436322836283	chr10	80606160	80607160	chr10:80606160-80607160	2168.665194	1899.525986	1936.199832	857.82562	802.57664	935.1626	1814.687914	1802.076886	2153.415288
3665	2818	0.987036029786621	5.65799949808846	58.6529940412709	1.52916135752529e-05	0.00423868964864509	chr13	63239555	63240555	chr13:63239555-63240555	2133.108621	2280.80452	2938.27027	1329.560133	1256.893387	1316.278014	2441.050865	2096.481756	3006.169208
3168	2370	1.63536914171067	5.04313828578193	57.4193940751062	1.67913493589454e-05	0.00454616021481029	chr12	76216390	76217390	chr12:76216390-76217390	1567.077126	1453.841442	2285.45386	567.260836	561.565208	603.22884	1354.81432	1534.061158	2428.180096
322	10287	1.02264740885769	5.28789171395863	56.6472260653387	1.7819861576459e-05	0.00471497337438944	chr8	70868350	70869350	chr8:70868350-70869350	1929.05525	1720.908296	2031.887106	970.86106	987.878592	1005.68067	1777.477792	1850.058936	2238.050578
702	10629	0.817064694368865	6.05216615285834	55.094869358983	2.01251929415933e-05	0.00518663852683861	chr8	120487560	120488560	chr8:120487560-120488560	3336.606	3355.942932	3227.480008	1766.967804	1909.62027	1731.980988	2992.040606	3052.356744	3171.415192
2252	1546	-0.528019520450381	6.8689613941917	54.8666205262071	2.04935038854644e-05	0.00518663852683861	chr11	69122220	69123220	chr11:69122220-69123220	4218.808828	3960.493994	4937.86324	6167.047872	6148.32066	5928.0816	3411.841322	3998.977864	4960.06829
4458	3531	0.931484209140405	5.76963521542948	54.0469481576829	2.18843710127344e-05	0.00530787181938028	chr15	37233860	37234860	chr15:37233860-37234860	2916.967646	2291.109614	3307.85564	1475.709612	1455.005782	1207.356034	2097.099632	2430.644024	3204.19624
10180	8682	1.49135984806548	5.58006312162214	54.0533626409738	2.18730559646107e-05	0.00530787181938028	chr6	48619710	48620710	chr6:48619710-48620710	2747.510411	2635.462675	2101.737888	981.26401	889.268606	856.108374	2675.28092	2541.003591	2113.184374
1299	11166	-1.34433633912344	5.16507250387665	52.8225929443956	2.41784443453903e-05	0.00562970898138069	chr9	102353970	102354970	chr9:102353970-102354970	1147.759069	902.53256	907.10091	2476.38972	2520.04349	2557.545573	956.956388	966.499396	945.881786
3696	2846	0.620513234419735	6.1970318833788	52.8569606146029	2.41102354005937e-05	0.00562970898138069	chr13	66680280	66681280	chr13:66680280-66681280	3580.060394	2802.918058	3912.589944	2296.086954	2164.63363	2368.89629	3102.715624	3169.570562	3959.945214
3690	2840	0.726166234939154	6.09440250408877	52.1874528268526	2.5481550399133e-05	0.005816788426406	chr13	65896790	65897790	chr13:65896790-65897790	2988.400876	3027.047362	3611.660095	1885.898396	1948.349504	2209.891006	3208.619606	2960.84751	3532.30316
4146	3250	-1.17024567552306	5.56692841632523	50.9647320521155	2.82349309646227e-05	0.00586984046946675	chr14	55853580	55854580	chr14:55853580-55854580	1504.931764	978.959716	1798.892352	2970.48935	3014.87668	3436.112222	1183.076832	1390.114846	1498.986634
5016	4033	1.27658427422258	5.42656524460014	51.0489371782372	2.80342535320832e-05	0.00586984046946675	chr16	18776900	18777900	chr16:18776900-18777900	2448.63872	1988.8349	1915.627874	1048.530406	1005.157278	800.412324	2039.853632	2410.080256	2224.93719
5120	4127	1.98931005415331	4.53102656468012	51.0747265593148	2.79731339996084e-05	0.00586984046946675	chr16	35587650	35588650	chr16:35587650-35588650	1413.316704	1209.960176	1158.754231	303.740764	256.502812	417.274745	1190.709654	1144.03408	1446.835199
5581	4542	0.884693407422172	5.65278519194363	51.4930447255302	2.70036586117026e-05	0.00586984046946675	chr17	33780790	33781790	chr17:33780790-33781790	2285.267766	2109.057596	2890.666418	1318.291498	1314.39054	1458.439024	2174.380848	2138.637346	3090.059212
10267	8760	0.493312410685427	6.63199634336932	50.9883092310396	2.81785691470425e-05	0.00586984046946675	chr6	65778600	65779600	chr6:65778600-65779600	4706.998108	4558.171326	5098.136502	3220.485934	3138.211656	3146.850156	3692.345672	4256.711582	5110.863652
2651	1905	-0.650524007207415	5.9470644058991	49.5123593020843	3.1982400949695e-05	0.00642073873255206	chr11	101170690	101171690	chr11:101170690-101171690	2211.270042	1879.775052	2272.536189	3431.994632	3280.912455	3582.540306	2080.879662	2031.019826	2237.752444
3811	295	1.7046139609533	4.81683265419667	49.5103889874761	3.19878754928723e-05	0.00642073873255206	chr1	92919150	92920150	chr1:92919150-92920150	1662.537002	1569.77033	1400.839418	526.34568	449.848142	410.53705	1597.153456	1374.00608	1365.479183
1661	11492	1.22272876635848	5.43355965932763	48.8466521793884	3.38976263242328e-05	0.00666717055741266	chrX	86191870	86192870	chrX:86191870-86192870	2088.902901	1790.466196	2771.537994	969.47456	939.914556	980.078524	1877.658245	1733.187108	3042.079784
5532	4499	0.907042508085754	5.53988645493958	48.6690511164359	3.44315733982009e-05	0.00666717055741266	chr17	29463675	29464675	chr17:29463675-29464675	2036.368186	1915.841845	2853.828194	1269.055001	1194.034028	1266.195995	2180.105716	2091.854635	2519.073074
7862	6596	-0.788014671354998	5.72872822533538	48.3213588690152	3.55063197525842e-05	0.00666717055741266	chr3	67463290	67464290	chr3:67463290-67464290	2107.161894	1764.703968	1847.213392	3024.926652	2933.248228	3038.602266	1558.99027	1697.886474	1793.717692
8582	7243	1.09146508484789	5.82299849667498	48.4755742951004	3.50247454172417e-05	0.00666717055741266	chr4	86930680	86931680	chr4:86930680-86931680	2755.519584	2011.161048	3549.940818	1243.395924	1365.036296	1556.805614	2597.045372	2482.053514	3621.410318
449	10400	0.569901216642999	6.29424578309438	47.0332439184709	3.98542201934391e-05	0.00713819740756951	chr8	84663650	84664650	chr8:84663650-84664650	3923.141617	3147.26973	4136.018028	2683.391962	2431.265012	2266.037186	3153.282588	3374.523493	4147.094895
