regionID	logFC	logCPM	F	PValue	FDR	V1	V2	V3	V4	DMSO1	DMSO2	DMSO3	PDsiNanog1	PDsiNanog2	PDsiNanog3	t2i1	t2i2	t2i3
15832	-6.12173070618235	4.5639714534376	518.464572621938	1.12690812860087e-14	1.41815753443777e-10	chr4	136290240	136291240	chr4:136290240-136291240	1136.575666	1150.689602	1013.707158	334.631208	238.804296	321.503172	10.5561	17.618526	14.804286
18005	-6.17174373847149	5.05815856656164	550.413333905819	6.70539687954621e-15	1.41815753443777e-10	chr5	128599030	128600030	chr5:128599030-128600030	1634.186956	1878.833144	1454.80049	330.271208	354.843091	315.868044	31.6683	13.703298	17.271668
953	-5.98983876014809	5.08924007300181	488.22397851078	1.89693361813009e-14	1.59146407449054e-10	chr1	136948410	136949410	chr1:136948410-136949410	1790.74188	1728.879113	1289.222	340.62627	372.921412	530.59873	24.6309	26.754078	17.271662
5725	-4.03451648368663	6.02857749850819	451.761921071104	3.98395554996458e-14	2.00544354474117e-10	chr13	53475535	53476535	chr13:53475535-53476535	2584.619258	2779.97859	2252.682181	1410.464925	1104.890706	992.240126	154.8228	99.512083	171.483053
3073	-6.41029088526571	4.33190496809122	415.9999716879	7.55468621420631e-14	2.37679871656698e-10	chr11	68390990	68391990	chr11:68390990-68391990	688.6839	879.80524	964.808882	340.626314	356.524642	303.11467	14.0748	5.872842	6.990914
5721	-6.54649343305557	4.99625516611955	446.787124000663	6.67469870677027e-14	2.37679871656698e-10	chr13	53462055	53463055	chr13:53462055-53463055	1575.220986	1733.574091	1334.578997	522.112828	314.481692	239.199643	12.608675	17.618529	14.804292
3967	-12.4044961278771	4.56915596666031	535.717005199768	1.11193252101795e-13	3.10958106905565e-10	chr11	108921440	108922440	chr11:108921440-108922440	736.349796	834.847302	640.05824	829.49336	503.67518	548.690818	0	0	0
7350	-4.31214677725809	5.8247571754265	404.365163630239	1.39811169224067e-13	3.51890731820054e-10	chr15	30646520	30647520	chr15:30646520-30647520	1726.640546	1575.226196	1477.0577	1657.898302	1488.322634	1580.229618	84.4488	90.05026	44.41285
3968	-12.1547349435341	3.98361413419084	476.010566283049	2.77127494686804e-13	6.34092901252015e-10	chr11	108922960	108923960	chr11:108922960-108923960	594.1747	599.81536	662.315252	379.321328	264.030046	274.04898	0	0	0
18006	-8.16297329018946	5.03757092462113	430.230813915325	4.51309217023531e-13	9.46583473605437e-10	chr5	128601475	128602475	chr5:128601475-128602475	1721.504303	1651.341321	1137.638209	430.82409	471.722525	461.345128	0	7.830457	6.168455
11132	-5.26808978109483	4.56428585268006	333.576372194225	5.00897717091658e-13	9.69776510883071e-10	chr19	30029760	30030760	chr19:30029760-30030760	1092.196702	1141.01454	797.20704	395.671484	450.701064	261.592148	31.6683	17.618526	22.206424
11344	-2.51052350042947	6.16975134618267	314.466181656567	8.2762260652326e-13	1.301902086474e-09	chr19	45143085	45144085	chr19:45143085-45144085	2187.064087	2460.57961	2475.083747	1245.875175	1536.673021	1520.763337	361.546225	343.887635	441.044718
