regionID	logFC	logCPM	F	PValue	FDR	V1	V2	V3	V4	DMSO1	DMSO2	DMSO3	PDsiNanog1	PDsiNanog2	PDsiNanog3	t2i1	t2i2	t2i3
14056	3.25961990413838	7.0098670651299	1949.80048786153	3.13285990136105e-35	5.82790263150689e-31	chr17	6478240	6479950	chr17:6478240-6479950	1431.67221	1668.088535	1556.056367	460.431855	506.63436	459.412249	4410.025195	5071.334188	4927.917237
13459	2.28222250420401	6.39165975923437	906.73613263091	7.44957180172166e-29	7.3914665560958e-26	chr16	35483780	35485580	chr16:35483780-35485580	611.908167	601.930142	722.67859	638.81127	596.349326	636.430183	3073.946726	3264.957588	3254.138357
28997	4.92201532876922	4.83569946615955	868.459787337876	1.68494640859593e-28	1.27935573738391e-25	chr6	114263800	114265300	chr6:114263800-114265300	229.148589	225.666342	276.095447	49.658686	28.200094	37.783416	1226.779291	1279.074286	1199.574476
34173	3.20612933713594	5.54585841977409	835.758228185928	3.4791597320266e-28	2.31146674696517e-25	chr8	117015870	117017590	chr8:117015870-117017590	538.397866	506.59778	680.530306	179.032562	173.624244	176.6497	1604.693647	1855.374945	1692.993042
36591	3.50679801962725	5.41521462104199	831.673961133746	3.8161666668274e-28	2.40644882778497e-25	chr9	118470180	118472310	chr9:118470180-118472310	210.771018	227.16307	160.897832	165.964533	154.962404	160.45689	1899.037841	1924.778011	1943.735692
5108	4.57826239234621	4.7428388798236	760.758099357439	2.04442475084104e-27	9.87828868247284e-25	chr11	63929860	63931400	chr11:63929860-63931400	73.003045	77.831818	60.144302	55.321518	58.059048	42.690362	1430.968498	1225.25582	1276.857133
32331	2.32815727030443	5.96807806335751	759.550991347822	2.10635453743629e-27	9.89912257347094e-25	chr8	14016280	14018200	chr8:14016280-14018200	713.301313	717.526309	706.103717	410.337498	412.77228	413.164447	2086.347855	2263.719058	2193.417685
9365	2.52521131398331	6.06195309761882	757.368268860502	2.2233945549643e-27	1.01970676605022e-24	chr13	66414900	66416570	chr13:66414900-66416570	1434.967732	1490.202957	1614.424894	240.561382	312.27485	274.543213	1562.085236	1682.48421	1775.264321
12935	2.91242644584527	5.63961981493035	755.053757499978	2.35499537658198e-27	1.05563377091244e-24	chr16	13740280	13741820	chr16:13740280-13741820	1066.656751	977.733973	1147.003771	177.290154	166.988931	167.81727	1398.03397	1265.170958	1397.451355
24493	2.91267410319907	5.59618548169126	754.207271711994	2.40514805882752e-27	1.06528016105569e-24	chr4	145266070	145267600	chr4:145266070-145267600	374.64798	310.060891	300.366239	250.362451	251.865738	252.462022	1954.819413	2057.5286	1977.068764
16101	5.45199753582439	4.44921529275001	742.8184029245	3.20060151885385e-27	1.35316340351088e-24	chr18	38625080	38627200	chr18:38625080-38627200	377.689592	383.172164	366.075114	14.374892	16.58829	17.419628	645.911793	817.80919	786.83622
13956	4.39537218941948	4.74603789729534	732.311605795102	4.18143559039068e-27	1.74798102405039e-24	chr16	97309320	97310900	chr16:97309320-97310900	333.583619	307.18251	376.493768	41.817861	55.847268	41.218262	997.066965	988.905483	1100.636483
13328	3.50649094583936	5.70651118396277	879.045146201102	5.11771440302902e-27	1.9833808787989e-24	chr16	31423620	31425320	chr16:31423620-31425320	225.09282	274.023397	299.77432	213.009564	142.659451	229.644727	2307.004208	2444.681304	2254.775928
6505	3.24472467260458	5.36488152884637	721.781331028551	5.48627404473884e-27	2.10429717355164e-24	chr11	108906030	108907820	chr11:108906030-108907820	398.475219	326.985775	400.527803	170.538341	184.268368	139.11161	1587.814833	1667.124136	1685.136933
22817	2.97871438449221	5.4296801253722	713.442427019537	6.82100842031294e-27	2.48799625762493e-24	chr4	55467620	55469200	chr4:55467620-55469200	604.810467	543.902186	619.912472	180.339376	170.859522	189.898486	1363.454196	1675.533224	1461.145968
26111	2.46541903026283	6.08029019289211	711.209256450581	7.233574185976e-27	2.58774161143497e-24	chr5	113329000	113330500	chr5:113329000-113330500	1246.123026	1120.271707	1423.572924	364.1638	317.94247	315.025521	1975.197203	2028.488904	1801.27279
9380	1.9304424229638	6.57419674678665	710.025746791903	7.46277347203895e-27	2.64430940025913e-24	chr13	66710420	66712140	chr13:66710420-66712140	1927.231302	1858.984136	2038.749471	568.89721	616.808287	614.103545	2467.968019	2362.385308	2391.294286
22476	4.10298983263858	4.94334288496089	706.288232218333	8.23803565857943e-27	2.78632833343134e-24	chr4	32176000	32178290	chr4:32176000-32178290	148.03407	185.023343	172.145305	90.496431	60.132567	80.596399	1582.463472	1281.428842	1319.638569
36676	4.37506082023924	4.68597880707329	700.04869231148	9.72666207589711e-27	3.11242771351932e-24	chr9	120981450	120982980	chr9:120981450-120982980	176.931093	140.926285	133.548774	51.292227	46.861916	61.827393	1122.420186	1240.728438	1140.764145
32931	3.16707041701394	5.38719263292755	688.702015514317	1.32046706201102e-26	4.08847758854209e-24	chr8	48747760	48749460	chr8:48747760-48749460	238.273999	200.796945	240.577145	189.487032	225.600935	159.966054	1818.762384	1736.078665	1891.294524
33236	2.41095941283974	6.13980277594582	705.871847416996	1.34854947378687e-26	4.11252321083938e-24	chr8	72329720	72331220	chr8:72329720-72331220	672.236883	601.930095	519.514171	453.46208	487.696065	487.749945	2557.300367	2727.674615	2721.867054
1064	2.89528757912823	5.58373300980731	681.64247377533	1.60095271961902e-26	4.72725761376394e-24	chr1	119397060	119398990	chr1:119397060-119398990	830.030234	825.984629	909.149604	159.103836	202.377329	199.099015	1609.222128	1422.588317	1355.731367
28211	2.21289134927924	6.10110793400021	678.05181846903	1.76701645001262e-26	5.16399339481165e-24	chr6	67110520	67112760	chr6:67110520-67112760	1508.477311	1401.203516	1389.475432	363.510173	350.56621	371.210067	1710.08137	1778.90839	1812.101386
28128	2.33818715979412	5.89156021466637	665.478432819017	2.50635329246631e-26	7.06430865501585e-24	chr6	54700600	54702980	chr6:54700600-54702980	583.011014	589.956066	585.341306	392.042102	438.484131	380.778631	1935.676775	2268.876515	2257.748429
18972	3.64347711649272	5.00184485452205	664.774817675491	2.55633134732929e-26	7.15100058476589e-24	chr2	75062800	75064320	chr2:75062800-75064320	83.649301	88.654581	110.580267	103.455576	142.382946	97.40268	1457.315212	1615.212358	1455.201408
8086	3.81338002114139	4.67869939841619	658.724864088131	3.03181780971048e-26	8.17382475436801e-24	chr12	104448560	104450090	chr12:104448560-104450090	162.862809	170.285973	176.881059	74.488021	70.500264	80.964427	1123.655299	1103.380592	1121.655351
15510	4.45434061065289	4.90300455606868	697.850382061725	3.42593671900991e-26	9.10442683076883e-24	chr17	84354100	84355620	chr17:84354100-84355620	147.273621	194.809894	217.135254	41.164429	53.635482	80.719084	1316.523712	1487.842891	1252.441048
28503	2.17180944952361	6.0748471595955	638.352095470795	5.44498820081838e-26	1.37810058511189e-23	chr6	86770780	86772440	chr6:86770780-86772440	762.983923	816.543524	770.036547	426.455036	533.037396	488.240456	2260.073056	2355.433438	2255.625887
20760	3.092116750559	5.49497322752395	655.182544970192	5.82882066762906e-26	1.4652788712104e-23	chr3	9651810	9654140	chr3:9651810-9654140	577.434314	588.114037	565.451138	226.8399	163.671286	149.416163	1559.615285	1694.930168	1606.580932
14689	2.9979379772818	5.33598896248979	635.512063916956	5.91633799507396e-26	1.47729768528005e-23	chr17	31307740	31309240	chr17:31307740-31309240	366.536384	428.305308	422.430784	190.793877	162.565406	198.731012	1398.858193	1799.314974	1456.050252
117	2.1118383194602	6.16176491388695	625.669203547561	7.91044684506782e-26	1.91109204461525e-23	chr1	23967700	23969600	chr1:23967700-23969600	1074.767783	1135.23946	1158.369505	507.912534	454.519509	456.345445	1928.266645	2393.106187	2151.378588
27592	2.88353748194923	5.26244285017379	623.780218172597	8.36805160381359e-26	1.98301503133685e-23	chr6	28557100	28559170	chr6:28557100-28559170	398.095034	452.138452	409.052259	175.547724	188.277289	185.727604	1473.164709	1433.352361	1365.073151
15509	3.59701995883796	4.86698604647618	620.117195452047	9.33649767142548e-26	2.12886818143586e-23	chr17	84350920	84352420	chr17:84350920-84352420	240.301791	192.507139	205.532492	95.396959	96.212146	100.101458	1313.230176	1293.873823	1112.950981
6562	4.61961593689278	4.8698874820986	698.658169566877	1.08243265241466e-25	2.35508227094078e-23	chr11	113588360	113590160	chr11:113588360-113590160	63.117247	76.450208	90.69008	54.232514	33.17661	79.001682	1445.376587	1477.07925	1388.746015
17336	3.78987060748693	4.82629487043191	609.314065197714	1.29421066291115e-25	2.70511841087692e-23	chr19	38044320	38046100	chr19:38044320-38046100	300.63078	295.208379	257.152376	61.419973	83.494441	89.306213	1127.978511	1252.6131	1035.243953
36557	2.61382545373732	5.49608268482063	609.467289848758	1.28818129267729e-25	2.70511841087692e-23	chr9	115449920	115453080	chr9:115449920-115453080	817.229543	866.282307	810.527415	211.267122	191.041946	210.262259	1231.719468	1358.455505	1363.268757
15895	2.49555788413877	5.59334345113818	598.411715432509	1.80945189782378e-25	3.63895447883965e-23	chr18	33836880	33838770	chr18:33836880-33838770	686.811838	678.956138	753.105858	236.749994	297.207104	256.019629	1524.41752	1624.069374	1547.133017
35333	6.29540068088667	3.96166833123172	592.062136740825	2.20528117869972e-25	4.18609623742465e-23	chr9	48592580	48598260	chr9:48592580-48598260	43.092047	23.487704	44.042689	11.761266	7.741201	8.587144	770.236387	772.736407	811.464767
24434	2.30244279579863	6.15952167265454	622.538449799851	2.41580630423657e-25	4.47164545020506e-23	chr4	142063240	142064740	chr4:142063240-142064740	902.906575	904.046813	1042.34344	521.85184	449.543062	389.120301	2323.47092	2554.560133	2205.094356
21869	3.74580991301251	4.73782455473388	587.441719114046	2.54993476090556e-25	4.67341491524589e-23	chr3	115692920	115695800	chr3:115692920-115695800	98.097854	84.509706	73.404458	81.675466	76.859137	107.461924	1144.856959	1326.165225	1291.719247
15663	2.22859214428463	5.95031956407876	579.627507125799	3.2677897673826e-25	5.73324526974194e-23	chr18	5010940	5013320	chr18:5010940-5013320	1138.392327	1026.321055	1105.803061	403.367852	320.154249	355.753168	1793.238013	1788.55123	1748.19453
14853	3.93853651319736	4.61314404735404	578.704147599687	3.36568311961415e-25	5.85141310585255e-23	chr17	36129780	36131500	chr17:36129780-36131500	122.432227	119.971594	161.963402	65.122573	77.135619	61.827386	934.081132	1220.54685	1154.139573
25116	3.6182204811006	4.7749180207826	575.846365876547	3.68867216912423e-25	6.29527743359023e-23	chr5	27813680	27817550	chr5:27813680-27817550	336.87886	286.573148	302.378971	73.181214	75.062084	96.175937	1051.613068	1144.193143	968.045955
32772	3.92382070180613	4.72466466112207	570.61485053827	4.36721985874993e-25	7.2862069437126e-23	chr8	40950430	40952040	chr8:40950430-40952040	229.655593	262.394643	214.056842	75.794823	74.647308	54.835003	995.008705	1025.793128	1270.275578
29605	4.12904139604773	4.79145889655891	592.500415511135	5.09748922629586e-25	8.4335032096941e-23	chr6	137108740	137111220	chr6:137108740-137111220	168.819628	191.81638	119.578205	75.794824	51.976654	75.076132	1255.184438	1264.722618	1223.141322
4968	3.25881914320578	5.39913684418868	637.226385118598	5.37543917661794e-25	8.77163221781011e-23	chr11	59243390	59244980	chr11:59243390-59244980	270.973273	262.394695	193.574621	196.892278	145.285885	201.675052	1762.77484	1892.03866	1831.102899
31501	2.75690861196757	5.23824901478329	564.054084248667	5.40840155749508e-25	8.78688122037573e-23	chr7	113149440	113150940	chr7:113149440-113150940	255.003819	272.181221	310.666546	226.948874	217.306734	192.842564	1558.585761	1491.654653	1488.746854
28035	2.41557769458523	5.93127612919021	587.97066006289	5.85865867820713e-25	9.39531879839208e-23	chr6	51944920	51946500	chr6:51944920-51946500	861.335159	877.335246	779.507873	415.129398	321.813046	335.143868	2121.752724	1959.871553	1944.372388
25954	3.07293070040695	5.23589771237187	566.470736942878	6.4513186041604e-25	1.01274813783877e-22	chr5	107219320	107220860	chr5:107219320-107220860	197.716695	179.611936	286.514224	179.468169	199.61257	164.382406	1596.45994	1621.266199	1604.245742
22435	2.09967468899885	5.93126642696702	557.414236883915	6.73112312375919e-25	1.04783027539523e-22	chr4	15244390	15246120	chr4:15244390-15246120	670.715791	654.662358	832.667422	466.530639	431.572353	461.252362	1928.266347	2183.776391	2030.571994
16639	2.46867048159135	5.61290060136598	552.913758934281	7.81798820896123e-25	1.19698868853664e-22	chr18	80183760	80185720	chr18:80183760-80185720	892.51401	895.066247	964.202977	214.752014	267.071669	235.287706	1414.089503	1514.303201	1254.988766
28645	1.75199401067208	6.47045743425572	552.771015203801	7.85533967848872e-25	1.19777833089415e-22	chr6	91700700	91702380	chr6:91700700-91702380	1108.227969	1090.106552	1196.492877	776.897963	829.691314	722.301636	2608.347234	2927.025193	2738.427653
33824	2.30780465225986	5.69056929641112	548.321655609783	9.11880566284066e-25	1.36800469631446e-22	chr8	95828080	95829790	chr8:95828080-95829790	318.628127	279.089321	363.588886	384.528015	388.166268	399.792946	2187.413712	2033.422538	1889.276795
14725	2.92432053346598	5.07084404622832	547.10082891833	9.50159310668318e-25	1.41402708613659e-22	chr17	31814640	31816140	chr17:31814640-31816140	187.07042	169.940536	163.384123	156.816884	188.553703	194.314732	1437.555118	1497.485382	1380.041584
2218	2.12364136583971	5.79883470329603	542.673060687615	1.10377488718058e-24	1.60413846396694e-22	chr1	191942180	191944200	chr1:191942180-191944200	479.082812	484.031334	516.672743	403.367769	451.201855	463.705908	1845.932325	2254.97324	1956.262385
