regionID	logFC	logCPM	F	PValue	FDR	V1	V2	V3	V4	DMSO1	DMSO2	DMSO3	PDsiNanog1	PDsiNanog2	PDsiNanog3	t2i1	t2i2	t2i3
25180	2.60872552349926	5.61824133822444	650.083339783952	1.29751244714682e-23	2.77832801637238e-20	chr2	155610895	155611895	chr2:155610895-155611895	378.133245	299.641157	339.910071	1245.388257	1227.119881	1343.642788	2242.165848	2419.454569	2270.062409
755	2.62004157993659	5.72442302966249	574.376147432835	2.58087130943727e-22	2.25147566009205e-19	chr1	73968410	73969410	chr1:73968410-73969410	362.734124	319.84747	461.02736	1388.810446	1084.4599	1249.797472	2463.233905	2605.462535	2749.998203
33666	2.82782627871975	5.21208121175603	482.876722625673	1.47629631891249e-21	9.27271559884396e-19	chr5	128580815	128581815	chr5:128580815-128581815	259.503162	201.199959	197.659273	926.364218	1107.683372	951.88477	1754.953849	1859.411116	1613.215374
1754	2.2419149067031	5.49038958761019	465.743527236108	2.60948476550555e-21	1.48105552208958e-18	chr1	135668030	135669030	chr1:135668030-135669030	403.798314	341.262672	452.85814	1096.411438	1063.310578	1083.084322	2144.59979	2045.756398	2114.011656
24179	2.68505171248185	4.98275053687354	442.684808260258	5.79785822042233e-21	2.73125505047655e-18	chr2	93261100	93262100	chr2:93261100-93262100	185.549526	207.244592	205.295638	814.141184	942.215316	914.89926	1409.149014	1606.466284	1275.158382
6366	1.76621462193736	5.96539680901242	420.623304391486	1.29153223136481e-20	5.48121624821024e-18	chr11	61004240	61005240	chr11:61004240-61005240	606.83836	547.12544	662.0611	1958.904408	1997.231244	2191.930678	2199.558072	2393.554638	2290.445032
753	1.98092768765069	5.65977077649432	411.807116430418	1.79831815603581e-20	6.72342632496311e-18	chr1	73962540	73963540	chr1:73962540-73963540	451.706598	525.71054	527.09136	1214.025384	1449.817574	1274.822712	2024.185798	2251.273546	2343.948422
16749	1.46350641523593	6.91195492759668	408.842567736042	2.01302626829224e-20	7.29458780359314e-18	chr16	30717820	30718820	chr16:30717820-30718820	1527.742262	1344.671538	1501.713206	3536.546586	3384.013802	3842.870588	4082.95238	4845.972612	4541.716956
36001	2.52894846589084	4.84954828663737	404.748676256331	2.35524389114156e-20	8.00068344876646e-18	chr6	87540300	87541300	chr6:87540300-87541300	210.644388	213.461872	224.475574	676.2733	716.61454	680.837942	1349.868786	1463.849206	1361.145414
7826	2.62633697636966	5.25776052212396	389.872947370987	1.52362078320925e-19	3.53361446404639e-17	chr11	99106110	99107110	chr11:99106110-99107110	221.290628	165.450254	264.966382	1306.154852	1263.199074	1419.455656	1360.983834	1791.466436	1333.757456
33665	2.25661047949302	5.27172745940874	358.31121594007	1.56143443555123e-19	3.58810016536328e-17	chr5	128579110	128580110	chr5:128579110-128580110	338.01969	246.966455	366.904016	971.93812	1086.533738	1146.016296	1632.68686	1765.565858	1668.78863
