regionID	logFC	logCPM	F	PValue	FDR	V1	V2	V3	V4	DMSO1	DMSO2	DMSO3	PDsiNanog1	PDsiNanog2	PDsiNanog3	t2i1	t2i2	t2i3
24459	0.207880875181214	5.02224881342524	3.29024811952464	0.0772965175655517	0.100049295019008	chr4	143295540	143299300	chr4:143295540-143299300	511.021853	523.867999	539.167682	504.645706	490.737285	465.423118	595.276153	694.924426	726.11426
19909	-0.134950696550046	6.49963898693041	3.28680731249424	0.0774454659967319	0.100235113142991	chr2	153521660	153524240	chr2:153521660-153524240	1226.350604	1278.929215	1249.059588	2079.566558	2103.949608	2313.622415	1140.328013	1432.45508	1222.504683
30207	0.131890143106316	6.22715323602868	3.27987487421763	0.0777465382589537	0.100600283654727	chr7	27571480	27573020	chr7:27571480-27573020	1283.130782	1313.469738	1394.684432	921.299958	905.168593	1000.034604	1561.879652	1696.611955	1587.260022
36104	-0.228675246118909	5.16936587024892	3.29379865251263	0.0777681786414857	0.100624785642223	chr9	91363530	91366200	chr9:91363530-91366200	601.008357	612.637702	942.892257	503.338813	472.628324	414.636442	615.653687	692.009574	722.611095
15459	0.174163977762433	5.54742873191662	3.27541046538561	0.0779411177579515	0.10084153867661	chr17	83657160	83658700	chr17:83657160-83658700	778.699827	791.67429	804.607786	642.078099	580.590514	707.580814	1015.180628	1052.141736	902.335299
4239	0.162479032549765	5.70872717877379	3.27174703294031	0.0781011937393145	0.101041620177731	chr11	5498060	5500900	chr11:5498060-5500900	898.85084	957.930497	1007.535615	580.004705	625.379048	518.41835	1145.268363	1208.662348	1196.602082
11461	0.262638356666631	5.13642984232984	3.3474734091449	0.0781366412767488	0.101083964626776	chr15	35295240	35297480	chr15:35295240-35297480	467.169169	604.463221	720.784329	497.022385	466.960801	346.920605	623.269827	867.142327	888.321744
24503	-0.223729979471274	4.79634714106244	3.26699368021587	0.0783094426484559	0.10128638323434	chr4	145676120	145679360	chr4:145676120-145679360	574.899182	521.104799	564.503503	353.055871	330.936653	373.418241	480.831539	519.119254	577.069908
25338	-0.162801801211241	5.6852684510887	3.26703966775452	0.0783074249184994	0.10128638323434	chr5	37826360	37827860	chr5:37826360-37827860	919.6365	844.636624	975.568679	835.922023	874.756231	812.098657	837.338211	930.602723	944.373082
29774	-0.19197975912443	5.16897201551361	3.26647138894823	0.0783323625611133	0.101312506051805	chr6	146627560	146629080	chr6:146627560-146629080	705.950216	666.866872	704.682836	489.835364	460.601777	523.324792	660.731873	683.488429	671.761607
1455	-0.175716371659075	5.60938018697105	3.26358947264038	0.0784589657994955	0.10146566869096	chr1	136674080	136678160	chr1:136674080-136678160	819.763904	873.19003	732.150551	941.119254	849.597401	958.816156	807.28599	780.360738	794.904012
34170	0.190512543569675	5.30242647168466	3.26280047228545	0.0784936666523225	0.101503488505775	chr8	116947060	116948580	chr8:116947060-116948580	510.261525	601.699986	603.337168	756.859396	770.250324	724.509802	680.492331	804.803034	683.651636
6839	-0.200918134409468	5.16944775813889	3.26185087045337	0.0785354536458579	0.101543407572342	chr11	117789800	117791310	chr11:117789800-117791310	625.342472	657.655818	608.309915	553.215555	659.24643	639.374171	559.048986	601.3038	665.286068
30001	0.191125063487617	5.54723769104444	3.26237822495561	0.0786351826694802	0.101661754507541	chr7	19211740	19213300	chr7:19211740-19213300	618.245123	771.640919	793.478227	810.220822	655.790807	871.718192	992.950315	921.408947	840.551234
24307	-0.179563921867946	5.59183692717887	3.25773021009348	0.0787170707400773	0.101757013894047	chr4	140037180	140039940	chr4:140037180-140039940	735.607952	915.560557	846.282522	781.035893	860.932644	892.081748	795.347923	923.650904	725.052607
22958	-0.214029270873516	5.08023300219246	3.25252549862407	0.0789471388820556	0.102029606159055	chr4	62889080	62892160	chr4:62889080-62892160	627.87745	565.086738	766.957975	409.248432	508.431467	492.656844	660.731709	594.912978	610.615278
8048	0.218117279636522	5.10561669125276	3.25047355033892	0.0790380494925267	0.102143548972505	chr12	102616420	102620920	chr12:102616420-102620920	590.108331	489.55761	585.814996	469.143986	616.531992	452.419883	720.424114	710.845814	715.074081
3700	-0.148935781238775	5.87829672788241	3.24484250833861	0.0792881324623202	0.102448946595146	chr10	95308940	95311930	chr10:95308940-95311930	995.807527	953.55527	1101.303839	996.223059	1015.203648	1012.54754	992.7444	991.147946	1061.88885
18630	-0.220680339811404	4.89682921501251	3.24272378422033	0.0793824572815561	0.102567262481691	chr2	51137250	51144180	chr2:51137250-51144180	548.79046	575.679469	497.611199	461.956264	446.225332	529.21337	490.094174	502.077034	552.972191
35841	-0.185348347946557	5.39737644557806	3.2395752987114	0.0795228587192292	0.102727264978609	chr9	67538580	67541420	chr9:67538580-67541420	536.87703	534.000189	631.278403	969.433715	1099.527471	1104.061463	501.826757	583.700926	572.186638
