regionID	logFC	logCPM	F	PValue	FDR	V1	V2	V3	V4	DMSO1	DMSO2	DMSO3	PDsiNanog1	PDsiNanog2	PDsiNanog3	t2i1	t2i2	t2i3
8817	-1.6006718512933	5.41640343405967	85.3025099518152	2.82406970275004e-06	0.00217152919033883	chr6	83136920	83137920	chr6:83136920-83137920	1312.090718	827.821976	1019.052576	3222.566788	3274.65641	3216.919818	921.655128	1107.704496	1080.581658
9239	-1.87670434505762	4.74208723258841	72.8475247366512	5.80519294220959e-06	0.00271327359318138	chr7	16174730	16175730	chr7:16174730-16175730	651.240232	548.732552	555.455914	2325.907154	2050.831002	2200.909192	515.210584	580.928012	582.310438
9705	-0.886134905529394	5.54677083362094	59.0320308422813	1.48633606368569e-05	0.0043259811133572	chr7	99352170	99353170	chr7:99352170-99353170	1371.993339	1327.607204	1681.198567	2737.482589	2633.249702	2827.044618	1450.223448	1491.561917	1965.073659
1905	-0.67386462439275	5.9470644058991	53.1007637427515	2.36329164660069e-05	0.00561498803055616	chr11	101170690	101171690	chr11:101170690-101171690	2211.270042	1879.775052	2272.536189	3431.994632	3280.912455	3582.540306	2080.879662	2031.019826	2237.752444
11166	-1.32472430706221	5.16507250387665	51.3545099853409	2.73202022484937e-05	0.00607519851806808	chr9	102353970	102354970	chr9:102353970-102354970	1147.759069	902.53256	907.10091	2476.38972	2520.04349	2557.545573	956.956388	966.499396	945.881786
7185	-0.517747621218188	6.66473196125148	51.2091037526791	2.76572342774101e-05	0.00607519851806808	chr4	58552840	58553840	chr4:58552840-58553840	3577.49761	3220.263028	4172.855456	5347.712592	5010.891216	5534.611544	3324.065354	3757.00993	3929.551536
2511	-0.605946995082783	6.113578662413	47.9714877112238	3.66285703864114e-05	0.00678241846301689	chr12	108422680	108423680	chr12:108422680-108423680	2545.37953	2060.96792	2659.10689	3821.032942	3854.99011	3518.75916	2280.28544	2505.015864	2594.470224
3250	-1.13603599235827	5.56692841632523	48.1212425653899	3.61430951932598e-05	0.00678241846301689	chr14	55853580	55854580	chr14:55853580-55854580	1504.931764	978.959716	1798.892352	2970.48935	3014.87668	3436.112222	1183.076832	1390.114846	1498.986634
9595	-0.673334074999552	6.31640248903997	48.3980436280676	3.52658698386463e-05	0.00678241846301689	chr7	73375095	73376095	chr7:73375095-73376095	3129.188742	2504.505808	2789.238998	4694.98128	4592.174565	4374.193531	2303.184374	2672.268373	2671.6536
6702	-0.635916423210569	5.77673937086164	45.6495959190752	4.52546593798585e-05	0.00763689139875903	chr3	92080425	92081425	chr3:92080425-92081425	1938.825919	1793.041575	1997.918278	3010.884197	2970.189301	3071.390548	1643.904891	1836.520864	2208.249846
5225	-1.04567398825724	5.37697176749505	42.6066399830933	6.05500934525957e-05	0.00839195461875142	chr19	5843925	5844925	chr19:5843925-5844925	1361.903228	904.678745	1482.650451	2620.979239	2551.473625	2606.954065	1184.984683	1206.58213	1666.020954
5965	-1.26678323509861	5.50112830592097	38.5361365879869	9.19275580820593e-05	0.0107762839987629	chr2	101796310	101797310	chr2:101796310-101797310	1663.17763	1109.487706	1053.977956	2989.212696	3181.111607	3228.59822	1143.958519	1349.672292	1162.832318
