regionID	logFC	logCPM	F	PValue	FDR	V1	V2	V3	V4	DMSO1	DMSO2	DMSO3	PDsiNanog1	PDsiNanog2	PDsiNanog3	t2i1	t2i2	t2i3
20682	-2.66708424174931	5.15401598254019	257.608997403668	4.46675826826753e-12	4.68432661891772e-09	chr7	81476540	81477540	chr7:81476540-81477540	1486.66965	1586.038556	1497.965884	362.971384	406.135444	377.85511	202.91166	209.464748	246.73816
11818	-3.41070191865198	4.85930151704052	230.341669745507	1.13999168322008e-11	1.06268335833208e-08	chr2	29845900	29846900	chr2:29845900-29846900	1459.96088	1390.273848	1639.601348	173.310644	147.991378	96.688278	105.561	147.473606	133.23852
12501	-1.27790180001323	6.86337049404881	183.133541336855	7.60357297119255e-11	4.25276284693212e-08	chr2	117342130	117343130	chr2:117342130-117343130	3382.604984	3508.122214	3116.996706	2284.649386	2266.118606	1950.373454	1272.594876	1215.026058	1288.384856
3142	-2.06199001815525	5.46995780875658	181.434344227997	8.20727717346249e-11	4.4906295473669e-08	chr11	69803000	69804000	chr11:69803000-69804000	1715.956886	1744.244634	1761.00344	457.802032	521.333568	548.690654	383.538	386.955164	373.397348
5562	-1.84176848069176	5.75421170870149	140.759108637573	6.41155637501168e-10	1.85485588968585e-07	chr13	37777770	37778770	chr13:37777770-37778770	1824.437494	1989.519982	1778.877008	879.63358	965.728298	650.42083	455.67133	443.073576	530.48746
19711	-3.63630492473918	3.59091652971641	133.830781190598	9.5890929388281e-10	2.56753064018473e-07	chr6	135039710	135040710	chr6:135039710-135040710	578.971284	641.927554	684.57247	62.130256	37.838706	40.039639	45.7431	45.025124	49.3476
10768	-3.2529030352933	3.89017804855651	128.867025157849	1.29431173200746e-09	3.19377764538194e-07	chr18	80973360	80974360	chr18:80973360-80974360	770.865518	700.54338	698.73578	87.200312	103.425802	106.179194	66.8553	93.313012	46.880242
13785	-2.60594012162029	4.06216447714511	120.596645924697	2.18406497190948e-09	4.92224819056055e-07	chr3	51358320	51359320	chr3:51358320-51359320	618.00791	754.60634	752.018272	178.760704	169.012882	182.699312	109.0797	82.872354	128.303804
2443	-2.31729207052573	4.63443376964902	119.975177421073	2.27451653474592e-09	5.02169356693159e-07	chr10	128909290	128910290	chr10:128909290-128910290	882.63335	898.300342	1184.680958	338.991312	293.460144	266.337549	185.90465	206.528314	151.743964
20968	-2.08574300756283	4.96136733495129	117.367233576512	2.70227018937422e-09	5.81311439285126e-07	chr7	120830670	120831670	chr7:120830670-120831670	1125.069636	1216.418899	1209.973722	329.726258	433.88382	438.95261	305.54029	217.621507	242.625828
16646	-1.76665802231675	5.59784614845722	116.712203093814	2.82328481701307e-09	5.89200364349225e-07	chr5	24598450	24599450	chr5:24598450-24599450	1701.1642	1588.314934	1543.828372	773.357984	701.69809	891.844358	370.04979	498.21279	429.735773
20684	-2.22838959940179	4.59578719293317	116.818596457373	2.80322568457851e-09	5.89200364349225e-07	chr7	81494990	81495990	chr7:81494990-81495990	1114.386418	993.62152	1037.312698	232.715898	213.578447	137.914315	199.39296	195.761416	219.185702
17011	-2.69176316075477	4.36502935390118	116.479908857267	2.86763790280008e-09	5.91603101439141e-07	chr5	52618010	52619010	chr5:52618010-52619010	1116.851958	932.729942	802.602186	146.060552	123.186014	189.817554	124.91385	170.3124	106.508586
20574	-2.55548868448823	4.32573117366305	116.219600470777	2.91826259457417e-09	5.97152449128758e-07	chr7	73372190	73373190	chr7:73372190-73373190	692.382276	747.20826	1048.441474	252.881024	240.065561	195.452496	156.58209	110.605203	120.901638
4756	-3.78680506865125	3.80231124475566	110.909971911887	4.20223839539549e-09	7.85135384222808e-07	chr12	80021890	80022890	chr12:80021890-80022890	673.069676	547.459404	848.127412	68.67026	162.285992	75.333818	56.88565	35.889597	44.412858
5718	-3.92963821440958	4.52596267667298	135.217463917386	5.79045169801067e-09	9.84728910724531e-07	chr13	53285530	53286530	chr13:53285530-53286530	1492.422504	1252.555558	995.833614	101.37038	111.834399	48.34414	109.0797	43.067578	71.965264
13343	-1.57348512572104	6.11311444180726	104.042858175817	6.89208229375871e-09	1.13377006046806e-06	chr2	168911470	168912470	chr2:168911470-168912470	2098.513382	2304.79306	2176.131196	1184.83505	1255.825422	1081.958702	859.147906	610.44966	550.6375
13660	-1.42630571094427	5.80397009208856	102.159041183963	7.93290475732315e-09	1.23248938171029e-06	chr3	9346850	9347850	chr3:9346850-9347850	1992.088482	1871.719084	1909.047282	798.97327	625.599998	713.890915	677.93531	581.737594	708.139322
22747	-1.34312745266849	6.39698224900499	101.629587138389	8.25607831735318e-09	1.27482966361633e-06	chr8	106135860	106136860	chr8:106135860-106136860	2724.329218	2419.178394	2375.432234	1334.16584	1434.508002	1703.017096	785.842202	868.5281	1060.974604
19447	-1.02416045776657	7.11834283680339	100.087963855191	9.28352578073673e-09	1.40757265286363e-06	chr6	118478660	118479660	chr6:118478660-118479660	3606.962242	3704.172358	3299.099126	3226.412658	3034.666364	2391.105314	1520.076478	1517.151556	1739.50506
19122	-1.97707663523268	4.6677343204968	99.7097474625504	9.55680819523952e-09	1.43175777063085e-06	chr6	90461630	90462630	chr6:90461630-90462630	1017.00069	1028.335752	752.01793	324.821032	333.401077	386.75295	199.97939	240.134004	208.082551
22718	-1.23165896039698	5.9453808164034	98.8039466723643	1.0248396850713e-08	1.50012962617267e-06	chr8	105259000	105260000	chr8:105259000-105260000	1867.17166	1866.59769	1850.70621	970.10334	1023.32718	1021.45436	693.18326	715.18184	769.000962
5027	-1.03098755725217	6.93081736379935	95.9464906826831	1.28221229561491e-08	1.77318688287537e-06	chr12	105023140	105024140	chr12:105023140-105024140	3393.28969	3411.662458	3036.399198	2578.949978	2242.57499	2122.988018	1314.819136	1622.862528	1463.980104
20683	-2.92448086444845	3.86590042934233	91.1849540818344	1.88678125359366e-08	2.46053872392222e-06	chr7	81493490	81494490	chr7:81493490-81494490	722.378764	776.801006	594.5325	83.385334	121.083852	79.782692	63.3366	122.02468	65.385578
14572	-1.78441628979234	4.49010342150023	90.9543812280801	1.92323392755444e-08	2.46968748584785e-06	chr4	15148560	15149560	chr4:15148560-15149560	807.02574	702.81942	768.87914	354.250932	384.27322	318.537138	204.08458	204.244456	196.567972
891	-1.66617497338325	5.08168708167652	90.9791778272067	1.91927634990289e-08	2.46968748584785e-06	chr1	135584245	135585245	chr1:135584245-135585245	1383.121	1279.302308	1426.136243	213.368267	293.670363	287.543727	401.424705	382.713645	395.192445
10236	-1.39138260020547	6.01311397872113	89.3110640241855	2.20690176264006e-08	2.79123168160239e-06	chr18	35932480	35933480	chr18:35932480-35933480	1866.350414	1807.412378	2031.460408	1187.015564	1141.888598	1220.16938	620.4636	795.444222	570.787906
9257	-2.52248549335653	3.84949388152929	88.9363511556411	2.27791333481377e-08	2.83825746158059e-06	chr17	23533050	23534050	chr17:23533050-23534050	526.374808	677.49553	695.7008	109.545402	109.311806	152.150662	99.6965	86.787622	116.789334
4659	-1.24092415247342	5.99233489299869	87.9612821165693	2.47490204262764e-08	3.02382570441238e-06	chr12	70110940	70111940	chr12:70110940-70111940	1795.674218	1919.522602	1801.470868	1306.915182	1093.118558	1039.250156	663.8605	770.64766	699.914476
20577	-2.98224450767997	4.30487305030829	90.8176353324606	3.96946905206452e-08	4.40121438640581e-06	chr7	73398030	73399030	chr7:73398030-73399030	820.585808	1101.178896	1094.97897	81.205262	107.630098	40.632806	84.4488	98.859505	167.782028
22357	-1.50345924854911	5.13349207703015	82.4241852770248	4.02436166023522e-08	4.44250695730088e-06	chr8	78419785	78420785	chr8:78419785-78420785	1270.94226	1153.819428	1290.739704	403.573709	431.571744	455.11679	445.11517	350.086749	405.062098
5960	-1.88191499974917	4.38026105540008	81.5273509326569	4.36517499365535e-08	4.7356504058324e-06	chr13	69703190	69704190	chr13:69703190-69704190	717.85836	903.421296	946.598358	186.935734	146.73008	178.843581	236.33925	197.066547	204.792666
24400	-2.02750407757968	5.4829647806165	85.7793134479031	4.70715966870972e-08	5.02010600431165e-06	chr9	100570015	100571015	chr9:100570015-100571015	1849.296915	1803.287246	1714.298539	458.619233	592.175715	370.737098	464.468105	249.759085	494.504521
15759	-1.36433455412426	5.54121730461751	77.4734677845575	6.36381912883216e-08	6.40683854614306e-06	chr4	134253440	134254440	chr4:134253440-134254440	1461.193378	1390.273706	1515.502086	709.592152	798.81718	724.864802	521.94	579.453832	448.241366
13710	-2.00993158979518	4.24139345522456	77.3751723931812	6.4235410083489e-08	6.44119934817264e-06	chr3	30599270	30600270	chr3:30599270-30600270	848.116548	583.880492	710.201826	276.860876	208.953732	230.746749	134.29703	187.930994	163.669645
13367	-1.54050858074546	4.9385418763201	75.357643094101	7.79810131928419e-08	7.46275331197961e-06	chr2	170408715	170409715	chr2:170408715-170409715	856.129453	973.134486	1036.638336	533.011575	577.040415	473.801818	341.606945	266.724936	294.23531
11345	-1.37702876807605	5.5326312606943	74.6139359079132	8.38492098004311e-08	7.87462970696661e-06	chr19	45144350	45145350	chr19:45144350-45145350	1273.819228	1348.161446	1419.39146	757.008086	856.416395	964.80607	496.722508	409.141452	521.029064
20568	-2.04747007265488	4.02671686523354	74.1839404685348	8.74651069311009e-08	8.12328146254199e-06	chr7	73323220	73324220	chr7:73323220-73324220	542.400354	631.683844	687.944684	225.630868	219.46446	160.158528	116.1171	138.990642	157.912426
5493	-1.48716936335149	5.07994106968483	73.1107171020182	9.72704064920913e-08	8.80647072301959e-06	chr13	24937025	24938025	chr13:24937025-24938025	1251.014113	1057.07518	975.262884	555.901827	468.569297	554.177515	327.23892	328.716123	416.370924
1333	-1.5105026449531	5.54368857199484	72.8264962854186	1.00067711173049e-07	8.96300435058529e-06	chr1	186704440	186705440	chr1:186704440-186705440	1671.578986	1609.370988	1189.739388	870.914032	762.660146	648.938122	404.64996	443.07321	588.881938
20075	-1.94088019468937	5.56088330923292	78.2812196306235	1.05864359582048e-07	9.40920416272783e-06	chr7	28290115	28291115	chr7:28290115-28291115	1904.359307	1716.644122	1404.385105	739.566975	871.76215	511.17219	299.675855	522.52001	370.724288
3141	-1.37636701711272	5.65558530454082	71.9122386395302	1.09690550113666e-07	9.65315194339458e-06	chr11	69800150	69801150	chr11:69800150-69801150	1724.174994	1873.71046	1803.831794	520.476774	646.201152	476.619541	629.846728	513.874005	766.122252
4138	-1.88408325337719	4.58107454740369	71.8519801403351	1.10360035432277e-07	9.67822903064455e-06	chr11	116694370	116695370	chr11:116694370-116695370	1079.459164	971.427484	947.946874	210.91579	224.509626	116.263239	270.93976	220.231536	252.084196
