regionID	logFC	logCPM	F	PValue	FDR	V1	V2	V3	V4	DMSO1	DMSO2	DMSO3	PDsiNanog1	PDsiNanog2	PDsiNanog3	t2i1	t2i2	t2i3
17419	3.50497935127263	6.67160738164796	420.108403250075	2.68452903996016e-13	8.74485334767021e-10	chr8	87780160	87781660	chr8:87780160-87781660	241.614787	200.317807	167.714593	1015.156934	1019.122947	656.451506	2145.622666	2293.889852	2003.51463
17420	3.54852073498482	6.85617464618992	399.063960354436	2.03766020863514e-12	2.85088478299324e-09	chr8	87781720	87783540	chr8:87781720-87783540	243.258404	257.605619	190.196449	1175.752241	1006.790186	688.483231	2344.234117	2811.13427	2374.170323
5653	2.89707563236799	5.24559199299494	225.321661795653	1.33644741361633e-11	1.0883693624638e-08	chr15	28000680	28003240	chr15:28000680-28003240	112.315284	92.381392	126.12313	285.944341	341.949815	364.607478	686.536895	833.944079	777.225554
5641	2.8340750712295	4.22944856622154	107.878700372869	5.12644762064939e-09	8.86693971199932e-07	chr15	27917920	27919420	chr15:27917920-27919420	60.814625	54.632118	52.607495	168.587263	204.609283	124.963213	403.477095	316.698612	399.716128
7132	1.85643313108415	5.50820559810519	107.428608887746	5.29535800958203e-09	9.07875195590182e-07	chr17	15368060	15369660	chr17:15368060-15369660	311.469354	235.79074	322.839354	191.840737	184.708925	246.76259	1004.001496	1008.388779	920.882593
372	1.28541788259152	6.43463115380749	78.2477268604556	5.83806482778489e-08	5.85153728507977e-06	chr1	89921040	89923610	chr1:89921040-89923610	525.826909	654.921754	780.344762	665.992746	711.648079	591.894019	1393.012452	1646.245499	1413.673043
9608	1.32741657822302	5.85224554148536	59.7324379951588	4.07439397762068e-07	2.65446767641988e-05	chr2	105686810	105688640	chr2:105686810-105688640	457.068084	437.436257	435.810793	296.117837	446.216427	424.419723	1209.453967	891.802031	1009.845
5790	2.01550626760024	4.82660243793275	60.5266285352541	4.58331390998237e-07	2.8665085163755e-05	chr15	73486680	73488200	chr15:73486680-73488200	173.129854	151.376526	156.248815	162.047264	193.117523	100.049646	539.533451	822.52504	442.484003
623	2.19621884584752	4.40881845819644	58.0585992323754	4.96834632975123e-07	2.97872174892601e-05	chr1	133262290	133263790	chr1:133262290-133263790	105.740783	96.365009	89.702556	231.444187	176.020043	89.965596	461.340366	355.415793	431.243693
1261	1.38532782784028	4.9116869014694	57.2632009271844	5.46800900100651e-07	3.22876845693874e-05	chr10	43510220	43512200	chr10:43510220-43512200	243.258334	180.968893	244.152905	215.094147	196.761257	204.844772	562.991584	491.578933	573.529533
