regionID	logFC	logCPM	F	PValue	FDR	V1	V2	V3	V4	DMSO1	DMSO2	DMSO3	PDsiNanog1	PDsiNanog2	PDsiNanog3	t2i1	t2i2	t2i3
1933	2738	-2.24136887403692	8.82946084096106	293.232193697978	2.95828598653401e-10	9.2121025620669e-07	chr8	34807320	34809800	chr8:34807320-34809800	539.660858	501.743192	588.349916	2328.976735	2112.241862	1876.028422	2560.047209	3401.899199	2907.947274
395	1353	-5.04615251615504	7.54141540925924	255.128673841151	7.55767932772395e-10	1.17673067132662e-06	chr18	38599030	38602140	chr18:38599030-38602140	37.529754	50.17428	51.933042	1232.613631	1194.302172	1359.863059	688.296103	1417.421898	703.889584
343	1306	-2.01807751939114	8.28660419841653	212.540745647937	2.14601357215393e-09	1.35479643770474e-06	chr17	86754160	86755970	chr17:86754160-86755970	674.986801	584.070466	433.337642	1779.977782	1860.684068	1936.829166	1364.471879	1478.325597	1432.178445
804	1721	-3.30680416058081	6.85016809312814	203.338034486561	2.81151037514083e-09	1.35479643770474e-06	chr2	152141500	152144780	chr2:152141500-152144780	121.35527	126.526519	70.368161	937.404124	813.392193	808.898644	450.393172	434.807991	430.421409
943	1847	2.6139296280277	7.7935982395374	202.853732652457	2.85266795766982e-09	1.35479643770474e-06	chr3	96596800	96598500	chr3:96596800-96598500	1398.735634	1167.003253	1432.094536	186.027338	139.0222	209.985468	1351.179053	1418.617978	1450.272787
1834	2649	3.05443988991554	7.28800226238291	200.687794304397	3.04546405392844e-09	1.35479643770474e-06	chr7	130264820	130267080	chr7:130264820-130267080	920.984867	869.940508	642.081584	80.660291	95.297493	62.086136	1018.075475	1283.760367	1161.863301
2568	506	-5.23975632225979	7.19938830551416	232.832026310556	1.32254330358117e-09	1.35479643770474e-06	chr11	101783900	101786110	chr11:101783900-101786110	37.8037	54.063031	32.373842	1513.470957	1136.843295	1185.172134	319.419617	666.132649	324.186587
40	1033	2.62255774499922	7.71781788960332	167.745869623181	9.02377453304045e-09	3.512504236986e-06	chr15	78801140	78803800	chr15:78801140-78803800	1523.103848	1464.823641	1404.21666	205.647457	235.440802	141.57227	1185.40932	920.079169	1309.357739
794	1712	-1.10684587663344	8.86101337367831	156.197878362916	1.38528711334533e-08	4.79309341217483e-06	chr2	146222760	146224600	chr2:146222760-146224600	1229.44066	1393.309037	1219.865148	2196.35895	2154.284818	2406.528286	2237.109586	2429.400287	2185.55329
2169	2950	1.96047878884001	8.2225004924852	142.116240426472	2.43589225365222e-08	7.58536847787302e-06	chr9	44732920	44736140	chr9:44732920-44736140	2159.191618	2184.526269	2121.837336	366.968045	459.670164	530.302176	1097.832701	1576.53293	1405.311074
