regionID	logFC	logCPM	F	PValue	FDR	V1	V2	V3	V4	DMSO1	DMSO2	DMSO3	PDsiNanog1	PDsiNanog2	PDsiNanog3	t2i1	t2i2	t2i3
1198	2076	3.45862803812537	9.36634519542351	2390.71132793976	9.79727959167847e-54	5.77157740745779e-50	chr17	6478180	6480540	chr17:6478180-6480540	1413.67481	1555.025138	1463.590332	421.881055	426.595808	440.888548	4631.710291	5293.894124	5177.279932
3951	4554	-3.60279571734214	8.34989610722972	1223.25088383952	1.88947232145156e-44	5.56544072283558e-41	chr7	4925000	4926700	chr7:4925000-4926700	909.497159	900.362537	1044.237608	2098.297184	1973.454513	2391.152243	195.132091	221.550688	148.619871
4670	5200	-4.25829641876066	7.76690433865034	1046.75223544428	2.49436592001066e-42	4.89810321159426e-39	chr8	70877460	70879000	chr8:70877460-70879000	441.567512	345.407515	403.014074	1679.683334	1612.935365	1829.797858	69.160698	104.945054	110.82798
5659	79	-4.85074505033608	7.3487237254153	951.4297899621	4.86451098014785e-41	7.16420854601274e-38	chr1	74767900	74770240	chr1:74767900-74770240	326.993026	337.578363	422.430833	1275.880905	1166.710628	1263.046055	52.693883	34.98171	48.407646
839	1753	-4.12156498379052	8.12707264552842	1171.41596513789	7.42401300363808e-41	8.74697212088639e-38	chr15	76463000	76464500	chr15:76463000-76464500	785.290498	894.83573	976.516304	1749.815243	1806.465678	1908.309199	73.277444	119.745007	141.401223
3862	4474	-4.74351327208765	7.21699574992245	927.790822852074	1.06094466019846e-40	8.92860713318444e-38	chr6	128036710	128038210	chr6:128036710-128038210	220.530198	209.777599	217.608746	1225.35035	1155.098517	1329.045402	41.990412	60.545277	44.586
3981	4581	-5.31846660781487	7.03463303639326	929.565707546089	9.99970292128511e-41	8.92860713318444e-38	chr7	16171320	16173170	chr7:16171320-16173170	77.819222	72.42046	107.620388	1149.773463	1154.684094	1316.16392	24.700242	30.609002	40.870489
1055	1948	-3.62287551239653	7.75934765916465	917.28718624191	1.50925878395694e-40	1.11138043703629e-37	chr16	4641540	4643120	chr16:4641540-4643120	661.083615	625.418001	718.89	1289.383895	1427.146887	1471.10076	116.0912	132.302516	112.951155
859	1771	-3.55904373407998	7.77329773166626	870.604147114501	7.57696971331857e-40	4.95954762012885e-37	chr15	78839080	78840700	chr15:78839080-78840700	755.379267	699.565369	815.026255	1351.239475	1218.133788	1413.689742	125.147958	125.126788	108.704854
5753	874	-3.46382672240575	8.09488698121175	867.306959497731	8.51729623178842e-40	5.01753921014656e-37	chr11	84946240	84949020	chr11:84946240-84949020	1360.189674	1554.794786	1609.215708	1104.25262	1080.451866	1197.29295	97.977678	88.799651	138.853449
4850	5363	-2.66302818828702	8.37514385168296	780.597432315525	2.16343971161418e-38	1.1586203037381e-35	chr8	105520380	105522060	chr8:105520380-105522060	1015.199557	1109.909438	1327.673325	1743.062927	1794.853386	2134.764463	268.821183	321.562387	362.42016
3863	4475	-5.61957400202908	7.935132974463	1343.35159706394	5.44869862625706e-38	2.46909873902156e-35	chr6	128041900	128043400	chr6:128041900-128043400	401.010051	306.72194	392.12187	2037.31251	1947.466616	2190.948882	41.990435	65.927036	25.477688
4932	5437	-4.68432956446073	7.01958642888468	759.337430260278	5.030234469794e-38	2.46909873902156e-35	chr8	120224280	120225780	chr8:120224280-120225780	289.477552	267.115226	306.877958	959.19692	948.850712	1028.985524	41.990444	52.472538	26.751561
4708	5235	2.2480392562885	8.47624092874279	719.731781190624	2.57137186286123e-37	1.08199654600825e-34	chr8	72329260	72331000	chr8:72329260-72331000	593.657106	592.25868	557.873905	522.722814	518.660894	521.117199	2482.37603	2692.244347	2729.934658
3366	4027	-4.22720676778003	7.12354937340109	716.992388309251	2.88728118426163e-37	1.13393156376568e-34	chr5	134101500	134103000	chr5:134101500-134103000	475.027315	428.305435	393.542672	895.598644	947.744774	907.784346	46.930487	56.95736	52.229262
2277	3047	-4.51565041059418	6.92156477017895	703.688320822051	5.09831032350385e-37	1.87713413223507e-34	chr2	158670580	158672140	chr2:158670580-158672140	134.092464	156.815014	117.683925	924.131244	1085.980814	1108.232116	37.462047	50.005895	57.324842
1085	1975	-2.07801370563428	8.67853270797497	686.486859734916	1.07923194406246e-36	3.73985610733643e-34	chr16	18400170	18401740	chr16:18400170-18401740	1479.959648	1699.289687	1671.016974	1884.961335	2023.22004	2144.946135	494.416852	520.801185	509.129082
436	1390	1.89150977342069	8.86556204718389	637.459475099051	1.0092316289975e-35	3.3029908480135e-33	chr13	66710440	66711970	chr13:66710440-66711970	1854.228204	1813.735703	1983.22244	584.905613	601.740603	589.323483	2400.659819	2264.952405	2338.215588
5497	643	2.57787136347443	8.05639495956158	613.951482967274	3.11755604874121e-35	9.66606457007078e-33	chr11	12465900	12468160	chr11:12465900-12468160	1034.717515	974.509961	1060.812818	209.52473	232.236291	264.483979	1565.996565	1536.502935	1376.645038
3256	3929	2.29169461400233	8.42264670105736	608.098067346131	4.15351388192542e-35	1.22341751392113e-32	chr5	113328960	113331100	chr5:113328960-113331100	1242.067265	1131.324748	1439.67448	415.129268	360.51912	325.820772	1886.276612	2060.33134	1802.122092
5020	5516	-2.65435644541837	7.88364709936312	596.05072240361	7.55636170148498e-35	2.11973937064038e-32	chr8	124753990	124755490	chr8:124753990-124755490	718.624417	802.266862	922.291689	1352.11088	1223.663548	1460.551265	230.535838	229.174861	221.443681
5523	667	-3.34973850267636	7.29101112977604	588.349137255114	1.11417175293977e-34	2.98344808934917e-32	chr11	32224140	32227060	chr11:32224140-32227060	280.605573	249.614568	329.372904	1185.27492	1100.357242	1238.511743	119.384614	141.272152	107.00635
4542	5086	-3.64853323164229	7.1592045651815	581.862045584302	1.5507704923317e-34	3.97199520448957e-32	chr8	26973300	26974820	chr8:26973300-26974820	335.357921	251.917264	365.364747	958.761491	1002.486278	1153.376448	88.920913	100.908737	73.885278
1781	2600	-2.77766513947782	7.7096421642252	542.54550511476	1.23851783272565e-33	3.04004523024451e-31	chr19	10237860	10239380	chr19:10237860-10239380	1074.514685	1065.237215	1078.808993	852.910297	937.791907	882.513421	120.619589	152.708553	141.82584
5177	5658	-1.70184046467543	8.90452770837356	523.30440295316	3.59761376079462e-33	8.47741706593645e-31	chr9	62524200	62526080	chr9:62524200-62526080	1845.102599	1845.39749	2034.013734	2167.121936	2247.161186	2239.773412	615.036334	829.469723	737.578938
4232	4807	1.55596392189146	9.19296909434764	519.397245569901	4.48645874877105e-33	9.78878832926305e-31	chr7	65872940	65874440	chr7:65872940-65874440	2054.73319	1969.74405	2196.45101	931.754029	1042.851032	914.65375	2935.626079	3198.133271	2914.223095
5880	989	-3.16881379579666	7.29187503808741	519.72624319995	4.40356860396125e-33	9.78878832926305e-31	chr11	102216340	102217860	chr11:102216340-102217860	439.539358	364.520057	352.814988	1083.997452	1044.509883	1077.319035	108.681112	136.563119	134.394863
1197	2075	2.03596752805915	8.3970321119471	507.203425784564	9.0227520007687e-33	1.76139747638769e-30	chr17	6474780	6476820	chr17:6474780-6476820	1155.121772	1325.904636	1165.000028	395.309138	397.013461	479.162598	1876.396088	1776.666284	1883.862889
